"Cnt","Est","Est.km"
"Vanuatu",70176556778.3942,70176.5567783942
"Vanuatu",70176556778.3942,70176.5567783942
"Marshall Islands",108577347492.983,108577.347492983
"Marshall Islands",108577347492.983,108577.347492983
"Indonesia",2131975051530.83,2131975.05153083
"Indonesia",2131975051530.83,2131975.05153083
"Papua New Guinea",585970604248.885,585970.604248885
"Papua New Guinea",585970604248.885,585970.604248885
"Solomon Islands",129096484512.409,129096.484512409
"Solomon Islands",129096484512.409,129096.484512409
"Tuvalu",3857670688.42392,3857.67068842392
"Tuvalu",3857670688.42392,3857.67068842392
"Gilbert Islands",30631618784.291,30631.618784291
"Gilbert Islands",30631618784.291,30631.618784291
"Philippines",587287499145.928,587287.499145928
"Philippines",587287499145.928,587287.499145928
"Fiji",143825604960.324,143825.604960324
"Fiji",143825604960.324,143825.604960324
