"Cnt","Est","Est.km"
"Vanuatu",70823848338.0293,70823.8483380293
"Vanuatu",70823848338.0293,70823.8483380293
"Marshall Islands",108577347492.983,108577.347492983
"Marshall Islands",108577347492.983,108577.347492983
"Indonesia",2131975051530.83,2131975.05153083
"Indonesia",2131975051530.83,2131975.05153083
"Papua New Guinea",585970604248.885,585970.604248885
"Papua New Guinea",585970604248.885,585970.604248885
"Solomon Islands",129096484512.409,129096.484512409
"Solomon Islands",129096484512.409,129096.484512409
"Tuvalu",3857670688.42392,3857.67068842392
"Tuvalu",3857670688.42392,3857.67068842392
"Gilbert Islands",30631618784.291,30631.618784291
"Gilbert Islands",30631618784.291,30631.618784291
"Philippines",591370310533.593,591370.310533593
"Philippines",591370310533.593,591370.310533593
"Fiji",150167740861.222,150167.740861222
"Fiji",150167740861.222,150167.740861222
