"Cnt","Area"
"Australia",6881490
"Sint-Eustatius",2183
"Guam",209028
"Netherlands",64058
"Republic of the Congo",33954
"Tunisia",99686
"Bahamas",619938
"Ukraine",135897
"Romania",29545
"Saba",9518
"Lithuania",6800
"Pakistan",224899
"Cura?ao",25497
"Madagascar",1199540
"Cape Verde",804694
"Dominican Republic",13158
"Andaman and Nicobar",667144
"New Caledonia",1179244
"Samoa",130973
"Ivory Coast",172522
"Tanzania",242601
"Cambodia",48894
"Malta",52923
"South Korea",347641
"Saint-Pierre and Miquelon",12384
"Bermuda",453453
"Easter Island",731040
"Puerto Rico",155163
"Venezuela",474350
"United Kingdom",7969
"Ghana",228509
"Barbados",185704
"Jordan",97
"Sudan",19784
"British Virgin Islands",81788
"Croatia",98
"Solomon Islands",1611839
"Chile",2485706
"Turks and Caicos Islands",91250
"Kuwait",11193
"Myanmar",499284
"Amsterdam and Saint Paul Islands",511849
"Jersey",2269
"Vietnam",753883
"American Samoa",407333
"Faeroe",1226
"Antarctica",9550534
"Djibouti",7252
"Colombia",721281
"Japan",4071500
"Puerto Rico",18348
"Suriname",133870
"Bahrain",7530
"Ceuta",33
"Iraq",1189
"Gabon",202654
"Quitasue?o Bank",2848
"Honduras",209335
"Mayotte",66990
"Vanuatu",625530
"R?union",275514
"Japan",1623
"Greenland",2252305
"Namibia",563509
"Togo",15515
"Johnston Atoll",443931
"Ascension",447887
"Australia",35181
"Philippines",1978551
"United Arab Emirates",6185
"Lebanon",20190
"Venezuela",1117
"Bonaire",13054
"Tristan da Cunha",757590
"Canada",5708318
"Norway",139
"Gilbert Islands",1057946
"Israel",24643
"Tuvalu",756313
"Albania",12150
"Cameroon",15210
"South Africa",1073107
"South Korea",82690
"Uruguay",41405
"Jarvis Island",324633
"Gibraltar",388
"Gambia",23184
"Belize",34426
"Prince Edward Islands",473643
"Faeroe",262564
"China",965049
"Saint Kitts and Nevis",9533
"Libya",364696
"Greece",482784
"Serranilla Bank",1558
"India",1665413
"Yemen",529394
"Dominican Republic",351756
