"Cnt","Area","Est","Est.km"
"Australia",6881490,6870691178754.01,6870691.17875401
"Sint-Eustatius",2183,2175717148.9089,2175.7171489089
"Guam",209028,208234147514.298,208234.147514298
"Netherlands",64058,64328143153.544,64328.143153544
"Republic of the Congo",33954,33806515184.1242,33806.5151841242
"Tunisia",99686,99701241933.5758,99701.2419335758
"Bahamas",619938,618662432796.822,618662.432796822
"Ukraine",135897,136198110384.572,136198.110384572
"Romania",29545,29605638466.8221,29605.6384668221
"Saba",9518,9487250992.44402,9487.25099244402
"Lithuania",6800,6832458176.96453,6832.45817696453
"Pakistan",224899,224373798404.9,224373.7984049
"Cura?ao",25497,25400739119.4522,25400.7391194522
"Madagascar",1199540,1196284908932.65,1196284.90893265
"Cape Verde",804694,801936208823.726,801936.208823726
"Dominican Republic",13158,13110703447.4276,13110.7034474276
"Andaman and Nicobar",667144,664448347801.276,664448.347801276
"New Caledonia",1179244,1175971246930.37,1175971.24693037
"Samoa",130973,130480233522.853,130480.233522853
"Ivory Coast",172522,171759532238.26,171759.53223826
"Tanzania",242601,241566857872.291,241566.857872291
"Cambodia",48894,48696547576.8922,48696.5475768922
"Malta",52923,52923007716.5364,52923.0077165364
"South Korea",347641,347671282308.187,347671.282308187
"Saint-Pierre and Miquelon",12384,12414082322.3066,12414.0823223066
"Bermuda",453453,453160416264.268,453160.416264268
"Easter Island",731040,729763351205.125,729763.351205125
"Puerto Rico",155163,154661056329.206,154661.056329206
"Venezuela",474350,472546293328.117,472546.293328117
"United Kingdom",7969,7911232949.37057,7911.23294937057
"Ghana",228509,227500207927.234,227500.207927234
"Barbados",185704,185006989432.457,185006.989432457
"Jordan",97,97083630.1984296,97.0836301984296
"Sudan",19784,19734429059.9544,19734.4290599544
"British Virgin Islands",81788,81555334376.9982,81555.3343769982
"Croatia",98,98318934.190464,98.318934190464
"Solomon Islands",1611839,1605324727998.22,1605324.72799822
"Chile",2485706,2488052492612.72,2488052.49261272
"Turks and Caicos Islands",91250,91025282372.5515,91025.2823725514
"Kuwait",11193,11178619659.1237,11178.6196591237
"Myanmar",499284,497460408453.304,497460.408453304
"Amsterdam and Saint Paul Islands",511849,512187832750.238,512187.832750238
"Jersey",2269,2276734178.41638,2276.73417841638
"Vietnam",753883,750957818018.812,750957.818018812
"American Samoa",407333,405829683229.906,405829.683229906
"Faeroe",1226,1233688465.36169,1233.68846536169
"Antarctica",9550534,9618978272396.51,9618978.27239651
"Djibouti",7252,7223433895.79761,7223.43389579761
"Colombia",721281,718338196827.639,718338.196827639
"Japan",4071500,4066512620004.6,4066512.6200046
"Puerto Rico",18348,18296805303.5723,18296.8053035723
"Suriname",133870,133303187472.938,133303.187472938
"Bahrain",7530,7515882473.20803,7515.88247320803
"Ceuta",33,32719975.5182261,32.7199755182261
"Iraq",1189,1187465971.71036,1187.46597171036
"Gabon",202654,201759221330.45,201759.22133045
"Quitasue?o Bank",2848,2838081870.14056,2838.08187014056
"Honduras",209335,208636424082.338,208636.424082338
"Mayotte",66990,66737936334.34,66737.93633434
"Vanuatu",625530,623424447749.819,623424.447749819
"R?union",275514,274555435639.143,274555.435639143
"Japan",1623,1623628460.13294,1623.62846013294
"Greenland",2252305,2268623007198.41,2268623.00719841
"Namibia",563509,562212471465.552,562212.471465552
"Togo",15515,15447000741.4044,15447.0007414045
"Johnston Atoll",443931,442442951348.281,442442.951348281
"Ascension",447887,446005326795.284,446005.326795284
"Australia",35181,35039121993.6755,35039.1219936755
"Philippines",1978551,1971032983425.77,1971032.98342577
"United Arab Emirates",6185,6173068535.32226,6173.06853532226
"Lebanon",20190,20183895579.8218,20183.8955798218
"Venezuela",1117,1113317276.8443,1113.3172768443
"Bonaire",13054,13004642881.8684,13004.6428818684
"Tristan da Cunha",757590,758168012379.066,758168.012379066
"Canada",5708318,5740544240911.77,5740544.24091177
"Norway",139,140208536.439709,140.208536439709
"Gilbert Islands",1057946,1053244935906.08,1053244.93590608
"Israel",24643,24628070323.6281,24628.0703236281
"Tuvalu",756313,753133026846.553,753133.026846553
"Albania",12150,12165467153.8163,12165.4671538163
"Cameroon",15210,15142596614.5379,15142.5966145379
"South Africa",1073107,1072678792921.29,1072678.79292129
"South Korea",82690,82609981623.8646,82609.9816238646
"Uruguay",41405,41413809202.7991,41413.8092027991
"Jarvis Island",324633,323186086408.958,323186.086408958
"Gibraltar",388,388281025.374237,388.281025374237
"Gambia",23184,23097358807.5473,23097.3588075473
"Belize",34426,34311902752.2867,34311.9027522867
"Prince Edward Islands",473643,474896765896.725,474896.765896725
"Faeroe",262564,264275577493.726,264275.577493726
"China",965049,963556396628.591,963556.396628591
"Saint Kitts and Nevis",9533,9501688072.24961,9501.68807224961
"Libya",364696,364523633987.608,364523.633987608
"Greece",482784,482910293793.976,482910.293793976
"Serranilla Bank",1558,1552475848.73468,1552.47584873468
"India",1665413,1659487009507.26,1659487.00950726
"Yemen",529394,527384365399.162,527384.365399162
"Dominican Republic",351756,350694047378.81,350694.04737881
"Kenya",114337,113832716011.524,113832.716011524
"Peru",857983,854697959168.052,854697.959168052
"China",340115,338839123214.242,338839.123214242
"Jan Mayen",290709,292906911055.428,292906.911055428
"Papua New Guinea",3732,3716581115.39948,3716.58111539948
"Perejil Island",1,641267.100784361,0.641267100784361
"Anguilla",90426,90164071438.2719,90164.0714382718
"Japan",213305,213722704366.034,213722.704366034
"Galapagos",845194,841437970005.012,841437.970005012
"Croatia",55301,55403742084.462,55403.742084462
"Fiji",1288135,1284067964288.58,1284067.96428858
"Marshall Islands",2009620,2001566339267.63,2001566.33926763
"Northern Mariana Islands",766028,763626420981.21,763626.42098121
"Syria",10269,10269410691.4348,10269.4106914348
"Nauru",310645,309260778494.723,309260.778494723
"Democratic Republic of the Congo",13431,13373258073.3556,13373.2580733556
"Taiwan",356388,355433078397.709,355433.078397709
"Egypt",243594,243342114813.27,243342.11481327
"Sao Tome and Principe",34688,34533749554.9768,34533.7495549768
