"Cnt","Est","Est.km"
"Australia",989791152815.648,989791.152815648
"Guam",208234147514.298,208234.147514298
"New Caledonia",448823695957.163,448823.695957163
"Samoa",130480233522.853,130480.233522853
"Solomon Islands",1605324727998.22,1605324.72799822
"Vietnam",333805367677.932,333805.367677932
"American Samoa",405829683229.906,405829.683229906
"Japan",185996260642.826,185996.260642826
"Vanuatu",577206683336.526,577206.683336526
"Johnston Atoll",440466829982.632,440466.829982632
"Philippines",1870226737091.8,1870226.7370918
"Gilbert Islands",1053244935906.08,1053244.93590608
"Tuvalu",753133026846.553,753133.026846553
"Jarvis Island",323186086408.958,323186.086408958
"China",93493385020.7465,93493.3850207465
"China",338721348074.033,338721.348074033
"Papua New Guinea",3473652438.63048,3473.65243863048
"Fiji",859192731581.021,859192.731581021
"Marshall Islands",2001566339267.63,2001566.33926763
"Northern Mariana Islands",534533523039.574,534533.523039574
"Nauru",309260778494.723,309260.778494723
"Taiwan",80509250605.6072,80509.2506056072
"Papua New Guinea",2372378351988.3,2372378.3519883
"Palau",614807444490.852,614807.444490852
"Phoenix Group",745781630489.441,745781.630489441
"Palmyra Atoll",353669860117.62,353669.86011762
"Wallis and Futuna",262749983069.164,262749.983069164
"Malaysia",263473416896.666,263473.416896666
"Indonesia",3021735562557.38,3021735.56255738
"Line Group",1641193476315.3,1641193.4763153
"Brunei",43143610389.6964,43143.6103896963
"Cook Islands",1565060255334.85,1565060.25533485
"Wake Island",248193302936.47,248193.30293647
"East Timor",4915603192.18107,4915.60319218107
"Micronesia",3010644060024.75,3010644.06002475
"Tokelau",320548057944.715,320548.057944715
"Tonga",311481367336.877,311481.367336877
"Niue",193374816010.259,193374.816010259
"Howland and Baker islands",434893794344.9,434893.7943449
"French Polynesia",2787416206579.33,2787416.20657933
"Hawaii",398379158612.385,398379.158612385
"Australia",989791152815.648,989791.152815648
"Guam",208234147514.298,208234.147514298
"New Caledonia",448823695957.163,448823.695957163
"Samoa",130480233522.853,130480.233522853
"Solomon Islands",1605324727998.22,1605324.72799822
"Vietnam",333805367677.932,333805.367677932
"American Samoa",405829683229.906,405829.683229906
"Japan",185996260642.826,185996.260642826
"Vanuatu",577206683336.526,577206.683336526
"Johnston Atoll",440466829982.632,440466.829982632
"Philippines",1870226737091.8,1870226.7370918
"Gilbert Islands",1053244935906.08,1053244.93590608
"Tuvalu",753133026846.553,753133.026846553
"Jarvis Island",323186086408.958,323186.086408958
"China",93493385020.7465,93493.3850207465
"China",338721348074.033,338721.348074033
"Papua New Guinea",3473652438.63048,3473.65243863048
"Fiji",859192731581.021,859192.731581021
"Marshall Islands",2001566339267.63,2001566.33926763
"Northern Mariana Islands",534533523039.574,534533.523039574
"Nauru",309260778494.723,309260.778494723
"Taiwan",80509250605.6072,80509.2506056072
"Papua New Guinea",2372378351988.3,2372378.3519883
"Palau",614807444490.852,614807.444490852
"Phoenix Group",745781630489.441,745781.630489441
"Palmyra Atoll",353669860117.62,353669.86011762
"Wallis and Futuna",262749983069.164,262749.983069164
"Malaysia",263473416896.666,263473.416896666
"Indonesia",3021735562557.38,3021735.56255738
"Line Group",1641193476315.3,1641193.4763153
"Brunei",43143610389.6964,43143.6103896963
"Cook Islands",1565060255334.85,1565060.25533485
"Wake Island",248193302936.47,248193.30293647
"East Timor",4915603192.18107,4915.60319218107
"Micronesia",3010644060024.75,3010644.06002475
"Tokelau",320548057944.715,320548.057944715
"Tonga",311481367336.877,311481.367336877
"Niue",193374816010.259,193374.816010259
"Howland and Baker islands",434893794344.9,434893.7943449
"French Polynesia",2787416206579.33,2787416.20657933
"Hawaii",398379158612.385,398379.158612385
