"Cnt","Est","Est.km"
"Australia",3321880347465.61,3321880.34746561
"Guam",208234147514.298,208234.147514298
"New Caledonia",1175971246930.37,1175971.24693037
"Samoa",130480233522.853,130480.233522853
"South Korea",347671282308.187,347671.282308187
"Solomon Islands",1605324727998.22,1605324.72799822
"Vietnam",333805367677.932,333805.367677932
"American Samoa",405829683229.906,405829.683229906
"Japan",4066512620004.6,4066512.6200046
"Vanuatu",623424447749.819,623424.447749819
"Japan",1623628460.13294,1623.62846013294
"Johnston Atoll",442442951348.281,442442.951348281
"Philippines",1971032983425.77,1971032.98342577
"Gilbert Islands",1053244935906.08,1053244.93590608
"Tuvalu",753133026846.553,753133.026846553
"South Korea",82609981623.8646,82609.9816238646
"Jarvis Island",323186086408.958,323186.086408958
"China",678051776547.073,678051.776547073
"China",338721348074.033,338721.348074033
"Papua New Guinea",3473652438.63048,3473.65243863048
"Japan",213722704366.034,213722.704366034
"Fiji",1284067964288.58,1284067.96428858
"Marshall Islands",2001566339267.63,2001566.33926763
"Northern Mariana Islands",763626420981.21,763626.42098121
"Nauru",309260778494.723,309260.778494723
"Taiwan",281931946331.123,281931.946331123
"Papua New Guinea",2372378351988.3,2372378.3519883
"Palau",614807444490.852,614807.444490852
"Phoenix Group",745781630489.441,745781.630489441
"Palmyra Atoll",353669860117.62,353669.86011762
"Wallis and Futuna",262749983069.164,262749.983069164
"Malaysia",263473416896.666,263473.416896666
"Indonesia",3021735562557.38,3021735.56255738
"Russia",987382042337.147,987382.042337147
"Line Group",1641193476315.3,1641193.4763153
"Brunei",43143610389.6964,43143.6103896963
"Cook Islands",1969553152681.01,1969553.15268101
"Wake Island",406969590295.146,406969.590295146
"East Timor",4915603192.18107,4915.60319218107
"Micronesia",3010644060024.75,3010644.06002475
"North Korea",114379098523.685,114379.098523685
"Alaska",323680456908.633,323680.456908633
"Tokelau",320548057944.715,320548.057944715
"New Zealand",3452218558137.91,3452218.55813791
"Pitcairn",226739704084.739,226739.704084739
"Norfolk Island",430600058614.252,430600.058614252
"Tonga",666052041738.752,666052.041738752
"Niue",318140431334.28,318140.43133428
"Taiwan",73794325497.2886,73794.3254972886
"Howland and Baker islands",434893794344.9,434893.7943449
"French Polynesia",4766688961881.67,4766688.96188167
"New Caledonia",187183955547.456,187183.955547456
"Hawaii",2474715093991.08,2474715.09399108
"Australia",3321880347465.61,3321880.34746561
"Guam",208234147514.298,208234.147514298
"New Caledonia",1175971246930.37,1175971.24693037
"Samoa",130480233522.853,130480.233522853
"South Korea",347671282308.187,347671.282308187
"Solomon Islands",1605324727998.22,1605324.72799822
"Vietnam",333805367677.932,333805.367677932
"American Samoa",405829683229.906,405829.683229906
"Japan",4066512620004.6,4066512.6200046
"Vanuatu",623424447749.819,623424.447749819
"Japan",1623628460.13294,1623.62846013294
"Johnston Atoll",442442951348.281,442442.951348281
"Philippines",1971032983425.77,1971032.98342577
"Gilbert Islands",1053244935906.08,1053244.93590608
"Tuvalu",753133026846.553,753133.026846553
"South Korea",82609981623.8646,82609.9816238646
"Jarvis Island",323186086408.958,323186.086408958
"China",678051776547.073,678051.776547073
"China",338721348074.033,338721.348074033
"Papua New Guinea",3473652438.63048,3473.65243863048
"Japan",213722704366.034,213722.704366034
"Fiji",1284067964288.58,1284067.96428858
"Marshall Islands",2001566339267.63,2001566.33926763
"Northern Mariana Islands",763626420981.21,763626.42098121
"Nauru",309260778494.723,309260.778494723
"Taiwan",281931946331.123,281931.946331123
"Papua New Guinea",2372378351988.3,2372378.3519883
"Palau",614807444490.852,614807.444490852
"Phoenix Group",745781630489.441,745781.630489441
"Palmyra Atoll",353669860117.62,353669.86011762
"Wallis and Futuna",262749983069.164,262749.983069164
"Malaysia",263473416896.666,263473.416896666
"Indonesia",3021735562557.38,3021735.56255738
"Russia",987382042337.147,987382.042337147
"Line Group",1641193476315.3,1641193.4763153
"Brunei",43143610389.6964,43143.6103896963
"Cook Islands",1969553152681.01,1969553.15268101
"Wake Island",406969590295.146,406969.590295146
"East Timor",4915603192.18107,4915.60319218107
"Micronesia",3010644060024.75,3010644.06002475
"North Korea",114379098523.685,114379.098523685
"Alaska",323680456908.633,323680.456908633
"Tokelau",320548057944.715,320548.057944715
"New Zealand",3452218558137.91,3452218.55813791
"Pitcairn",226739704084.739,226739.704084739
"Norfolk Island",430600058614.252,430600.058614252
"Tonga",666052041738.752,666052.041738752
"Niue",318140431334.28,318140.43133428
"Taiwan",73794325497.2886,73794.3254972886
"Howland and Baker islands",434893794344.9,434893.7943449
"French Polynesia",4766688961881.67,4766688.96188167
"New Caledonia",187183955547.456,187183.955547456
"Hawaii",2474715093991.08,2474715.09399108
