"","eez","Dist"
"1","Hawaii",24141.3764123699
"2","Johnston Atoll",184733.938130892
"3","French Polynesia",133618.773510511
"4","Hawaii",272751.005894807
"5","Line Group",325128.693969949
"6","Marshall Islands",94767.647622835
"7","Line Group",282787.962187065
"8","French Polynesia",168723.165266543
"9","Jarvis Island",175130.271659473
"10","Howland and Baker islands",503326.172633348
"11","Jarvis Island",52624.3285684161
"12","Jarvis Island",163862.017991822
"13","Johnston Atoll",192916.371294507
"14","Line Group",29242.1284345456
"15","Indonesia",141866.672497219
"16","French Polynesia",267165.768389199
"17","Nauru",4396.48628286968
"18","Palmyra Atoll",366815.345199425
"19","Marshall Islands",687326.352225889
"20","Johnston Atoll",178482.036874868
"21","Palmyra Atoll",127515.080105165
"22","Howland and Baker islands",335820.411214407
"23","Northern Mariana Islands",81538.7024922608
"24","Micronesia",115053.165626273
"25","Palmyra Atoll",171133.12598333
"26","Gilbert Islands",28922.4213703804
"27","Marshall Islands",277225.46315755
"28","Howland and Baker islands",231853.092212936
"29","Northern Mariana Islands",552694.759709576
"30","Marshall Islands",635651.473545454
"31","Palmyra Atoll",240666.369469235
"32","Northern Mariana Islands",288377.371516586
"33","French Polynesia",442735.731531931
"34","Northern Mariana Islands",628405.705465464
"35","Hawaii",391679.874000328
"36","Johnston Atoll",331620.210384393
"37","French Polynesia",183227.738930825
"38","Philippines",119578.885990621
"39","Papua New Guinea",65660.9813140028
"40","Wake Island",15747.1685882156
"41","Micronesia",610.285313557108
"42","Northern Mariana Islands",517481.620204746
"43","Wake Island",286418.667394293
"44","Palmyra Atoll",555503.420105423
"45","Hawaii",464884.076476115
"46","Line Group",73015.7637901609
"47","French Polynesia",174195.616508186
"48","Phoenix Group",96038.9557510192
"49","Palmyra Atoll",226648.924981093
"50","French Polynesia",121229.907603123
"51","Papua New Guinea",30546.1619310483
"52","Johnston Atoll",261301.054059838
"53","Marshall Islands",250427.696763226
"54","French Polynesia",67734.1545485874
"55","Marshall Islands",518340.707007905
"56","Johnston Atoll",585945.941075831
"57","Johnston Atoll",466014.805726319
"58","Vanuatu",33482.3645658618
"59","Micronesia",152267.116845797
"60","Palmyra Atoll",163457.742701739
"61","Tokelau",12725.5123182501
"62","Marshall Islands",357646.234373584
"63","Marshall Islands",552154.81657525
"64","Papua New Guinea",32933.203482906
"65","Palmyra Atoll",385659.807410124
"66","Marshall Islands",68988.2822646743
"67","Phoenix Group",95692.8514371133
"68","Japan",79259.169995682
"69","Micronesia",320435.316194267
"70","Micronesia",11259.8299142655
"71","Tuvalu",32694.1615338926
"72","Jarvis Island",239834.964708282
"73","Hawaii",576551.864858683
"74","Marshall Islands",167486.677834521
"75","Gilbert Islands",131157.412736776
"76","French Polynesia",100503.619281165
"77","Howland and Baker islands",135697.392786289
"78","Line Group",282229.039133165
"79","Hawaii",465501.301173483
"80","French Polynesia",8379.8105653705
"81","Marshall Islands",52078.602580616
"82","Hawaii",192606.104994277
"83","Johnston Atoll",348679.011019498
"84","Johnston Atoll",374672.655813949
"85","Hawaii",324634.808934119
"86","Hawaii",440166.149674074
"87","Micronesia",72859.549978568
"88","Marshall Islands",384092.230051477
"89","Marshall Islands",173308.52027772
"90","Howland and Baker islands",195705.66737736
"91","Marshall Islands",365896.711595911
"92","Marshall Islands",54972.3292189869
"93","Palmyra Atoll",169843.271787163
"94","Marshall Islands",246236.680919966
"95","Johnston Atoll",436835.077131698
"96","Line Group",549289.042065013
"97","Tuvalu",74966.767184925
"98","Line Group",146218.202977209
"99","Northern Mariana Islands",273799.557805796
"100","Micronesia",183411.36602862
"101","Micronesia",133611.281923395
"102","Johnston Atoll",341768.546781349
"103","Johnston Atoll",220467.722903916
