"","eez","Dist"
"1","Hawaii",1996604.18857676
"2","New Zealand",238549.94438464
"3","Johnston Atoll",298233.306900283
"4","New Zealand",168427.999768463
"5","Hawaii",689990.875064304
"6","Hawaii",1109484.54470502
"7","Japan",87247.3825686205
"8","French Polynesia",388819.599441398
"9","Hawaii",1136565.02288577
"10","French Polynesia",188939.182240017
"11","Gilbert Islands",132900.279078295
"12","Australia",383089.499190835
"13","Hawaii",2073243.0367672
"14","French Polynesia",1399646.02415962
"15","Hawaii",2093447.06175276
"16","Marshall Islands",113869.597910185
"17","Philippines",60623.2642831006
"18","Hawaii",385565.857949913
"19","Tonga",54503.4062305598
"20","Japan",735688.548114135
"21","Japan",220877.911021097
"22","New Zealand",3773.16841145378
"23","New Zealand",327214.07868634
"24","Hawaii",2488774.29402053
"25","New Zealand",74033.7354028995
"26","Niue",405331.467381583
"27","Hawaii",1379765.31722805
"28","Japan",986865.677225104
"29","Hawaii",1263634.27110328
"30","Cook Islands",101284.807478904
"31","French Polynesia",28386.3151858876
"32","Hawaii",1023109.55293886
"33","New Zealand",106434.210356392
"34","Line Group",223081.57774082
"35","Marshall Islands",385855.062683294
"36","French Polynesia",23948.4707248994
"37","Japan",1015808.95141635
"38","French Polynesia",42637.7690998096
"39","French Polynesia",1533694.99669861
"40","French Polynesia",230062.020724989
"41","New Zealand",215690.994093542
"42","Australia",167896.96718066
"43","French Polynesia",313329.680849355
"44","Japan",1039345.96036834
"45","Hawaii",40257.1981248014
"46","Japan",1459062.78386402
"47","Hawaii",1213479.56207627
"48","Johnston Atoll",219899.034882172
"49","Tonga",105968.205748735
"50","Hawaii",1527277.21149196
"51","New Zealand",1203266.22577599
"52","Japan",246849.413797033
"53","Japan",318388.700888343
"54","Hawaii",1046888.47225244
"55","Japan",1620733.65013379
"56","Japan",1677336.79978309
"57","Micronesia",160893.753705055
"58","Japan",1607651.31540791
"59","Hawaii",957734.719373377
"60","New Zealand",73795.0265310258
"61","Hawaii",576909.162455573
"62","New Zealand",1415293.9978603
"63","Australia",275307.152423685
"64","Japan",1551884.06768937
"65","Japan",552909.070245243
"66","Johnston Atoll",431118.625895759
"67","Palmyra Atoll",271234.378449452
"68","Hawaii",67527.229231552
"69","Johnston Atoll",348236.975815303
"70","Wake Island",486142.306077224
"71","French Polynesia",544257.775504575
"72","New Zealand",1012013.71167995
"73","French Polynesia",1163010.61251754
"74","New Zealand",943480.829493199
"75","Wake Island",357552.615673077
"76","French Polynesia",1082761.13638294
"77","Cook Islands",616170.491816609
"78","Line Group",182039.214331856
"79","Hawaii",779318.241099857
"80","Northern Mariana Islands",16078.2612944894
"81","Hawaii",760813.902200633
"82","Hawaii",685265.622178555
"83","Howland and Baker islands",479848.87739612
"84","Jarvis Island",238750.931471485
"85","French Polynesia",242906.516781627
"86","Pitcairn",349871.045214538
"87","Micronesia",103740.395344572
"88","Howland and Baker islands",236456.090313722
"89","New Zealand",63550.9226403343
"90","New Zealand",835272.9467652
"91","New Zealand",1011821.05318909
"92","Marshall Islands",516151.816377731
"93","Japan",99890.7911902033
"94","French Polynesia",1054983.90137016
"95","New Zealand",370760.198146612
"96","Japan",612720.595260796
"97","New Zealand",424608.674893978
"98","Jarvis Island",87431.7887650798
"99","New Zealand",103224.527015497
"100","Hawaii",1710979.22949652
"101","New Zealand",181020.38585863
"102","Marshall Islands",393354.566511159
"103","Hawaii",720355.847321749
"104","Hawaii",163985.356056578
"105","New Zealand",1726203.44640007
"106","Hawaii",565349.125214287
"107","Cook Islands",170258.005709788
"108","Japan",1030933.83086779
"109","Hawaii",118957.938950454
"110","French Polynesia",13919.7324691096
"111","Northern Mariana Islands",56332.2269065993
"112","French Polynesia",534468.880436714
"113","Howland and Baker islands",302589.335154504
"114","Japan",2241.78759215196
"115","New Zealand",533158.169282738
"116","New Zealand",67779.3705671117
"117","Hawaii",941647.120649888
"118","Japan",189608.568498798
"119","Cook Islands",868580.524820335
"120","Cook Islands",62203.9931889203
"121","Japan",1007191.27320494
"122","Hawaii",64012.3623989368
"123","Australia",100501.891183319
"124","Pitcairn",599375.658302904
"125","Wake Island",174891.747894628
"126","Japan",322567.025764539
"127","New Zealand",1265841.02885381
"128","Japan",920454.452045098
"129","Japan",1457750.33059455
"130","Wake Island",49067.3252259953
"131","New Zealand",701260.836013913
"132","Hawaii",836489.140897457
"133","Johnston Atoll",565710.51651858
"134","New Zealand",127098.002219323
"135","French Polynesia",747980.24013344
"136","Cook Islands",409480.814652152
"137","Hawaii",79012.815445923
"138","Hawaii",148433.259160736
"139","Line Group",10059.1695657282
"140","Japan",115905.443615927
"141","Japan",1819672.48589233
"142","Marshall Islands",157714.806858882
"143","Japan",240062.928275394
