"","eez","Nsamps","Nsamps/sum(Nsamps)"
"1","Australia",61,0.03125
"2","Cook Islands",64,0.0327868852459016
"3","Fiji",7,0.00358606557377049
"4","French Polynesia",252,0.129098360655738
"5","Gilbert Islands",11,0.00563524590163934
"6","Guam",1,0.000512295081967213
"7","Hawaii",533,0.273053278688525
"8","Howland and Baker islands",36,0.0184426229508197
"9","Indonesia",4,0.00204918032786885
"10","Japan",303,0.155225409836066
"11","Jarvis Island",11,0.00563524590163934
"12","Johnston Atoll",59,0.0302254098360656
"13","Line Group",37,0.0189549180327869
"14","Marshall Islands",59,0.0302254098360656
"15","Micronesia",27,0.0138319672131148
"16","Nauru",6,0.00307377049180328
"17","New Caledonia",4,0.00204918032786885
"18","New Zealand",275,0.140881147540984
"19","Niue",9,0.00461065573770492
"20","Norfolk Island",5,0.00256147540983607
"21","Northern Mariana Islands",18,0.00922131147540984
"22","Palau",6,0.00307377049180328
"23","Palmyra Atoll",29,0.0148565573770492
"24","Papua New Guinea",11,0.00563524590163934
"25","Philippines",15,0.0076844262295082
"26","Phoenix Group",22,0.0112704918032787
"27","Pitcairn",20,0.0102459016393443
"28","Solomon Islands",10,0.00512295081967213
"29","Tonga",6,0.00307377049180328
"30","Tuvalu",3,0.00153688524590164
"31","Wake Island",48,0.0245901639344262
