"","eez","Dist"
"1","Hawaii",24141.3764123699
"2","Johnston Atoll",184733.938130892
"3","French Polynesia",133618.773510511
"4","Marshall Islands",94767.647622835
"5","French Polynesia",168723.165266543
"6","Jarvis Island",175130.271659473
"7","Jarvis Island",52624.3285684161
"8","Jarvis Island",163862.017991822
"9","Line Group",29242.1284345456
"10","Indonesia",141866.672497219
"11","Nauru",4396.48628286968
"12","Johnston Atoll",178482.036874868
"13","Palmyra Atoll",127515.080105165
"14","Northern Mariana Islands",81538.7024922608
"15","Micronesia",115053.165626273
"16","Palmyra Atoll",171133.12598333
"17","Gilbert Islands",28922.4213703804
"18","French Polynesia",183227.738930825
"19","Philippines",119578.885990621
"20","Papua New Guinea",65660.9813140028
"21","Wake Island",15747.1685882156
"22","Micronesia",610.285313557108
"23","Line Group",73015.7637901609
"24","French Polynesia",174195.616508186
"25","Phoenix Group",96038.9557510192
"26","French Polynesia",121229.907603123
"27","Papua New Guinea",30546.1619310483
"28","French Polynesia",67734.1545485874
"29","Vanuatu",33482.3645658618
"30","Micronesia",152267.116845797
"31","Palmyra Atoll",163457.742701739
"32","Tokelau",12725.5123182501
"33","Papua New Guinea",32933.203482906
"34","Marshall Islands",68988.2822646743
"35","Phoenix Group",95692.8514371133
"36","Japan",79259.169995682
"37","Micronesia",11259.8299142655
"38","Tuvalu",32694.1615338926
"39","Marshall Islands",167486.677834521
"40","Gilbert Islands",131157.412736776
"41","French Polynesia",100503.619281165
"42","Howland and Baker islands",135697.392786289
"43","French Polynesia",8379.8105653705
"44","Marshall Islands",52078.602580616
"45","Micronesia",72859.549978568
"46","Marshall Islands",173308.52027772
"47","Marshall Islands",54972.3292189869
"48","Palmyra Atoll",169843.271787163
"49","Tuvalu",74966.767184925
"50","Line Group",146218.202977209
"51","Micronesia",183411.36602862
"52","Micronesia",133611.281923395
"53","Northern Mariana Islands",46261.9487544471
"54","Jarvis Island",101595.706488535
"55","French Polynesia",104360.21005818
"56","Japan",177164.237986934
"57","Johnston Atoll",86843.0757598833
"58","Gilbert Islands",86868.3619163295
"59","Palmyra Atoll",90567.6215723529
"60","Line Group",105463.556396943
"61","Palmyra Atoll",43886.154062217
"62","Phoenix Group",65245.8413322005
"63","Hawaii",22404.3353706793
"64","Japan",53585.2255561381
"65","Micronesia",64505.4061550903
"66","Northern Mariana Islands",81068.6396422627
"67","Papua New Guinea",44388.1770202035
"68","Palau",15072.1756289559
"69","Papua New Guinea",10754.3730031752
"70","Jarvis Island",15513.8472453368
"71","Howland and Baker islands",40563.2940192948
"72","Gilbert Islands",4916.6523943737
"73","Line Group",23110.7453061597
"74","Marshall Islands",16189.7159412092
"75","Cook Islands",64652.6554395744
"76","Howland and Baker islands",79648.3351938296
"77","Howland and Baker islands",66258.4289909184
"78","Phoenix Group",115375.939594031
"79","Micronesia",33581.3431375241
"80","Micronesia",144769.842358798
"81","Gilbert Islands",7634.40080775935
"82","Micronesia",134253.008146515
"83","Cook Islands",62145.4924412317
"84","Marshall Islands",146096.213318249
"85","Tuvalu",2935.8036388028
"86","Solomon Islands",9218.63376108096
"87","Jarvis Island",138377.867023149
"88","Line Group",42944.2343560359
"89","Philippines",78905.3706846256
"90","Japan",46574.15837852
"91","Howland and Baker islands",115151.77173229
"92","Line Group",2165.81668301059
"93","Palmyra Atoll",128189.795180995
"94","Solomon Islands",16981.7622596275
"95","Line Group",27230.5239336639
"96","Hawaii",46550.7147403102
"97","Hawaii",145300.922717777
"98","Solomon Islands",142460.520541728
"99","Micronesia",164748.599429158
"100","French Polynesia",76145.9833071704
"101","Wake Island",168974.126285409
"102","Phoenix Group",16480.1573386148
"103","Line Group",85887.0287440718
"104","Micronesia",82365.6006223871
