"Cnt","Est","Est.km"
"Vanuatu",69822857193.8508,69822.8571938508
"Vanuatu",69822857193.8508,69822.8571938508
"Papua New Guinea",39463680818.3207,39463.6808183207
"Papua New Guinea",39463680818.3207,39463.6808183207
"Solomon Islands",29047728527.4503,29047.7285274503
"Solomon Islands",29047728527.4503,29047.7285274503
"Vanuatu",69822857193.8508,69822.8571938508
"Vanuatu",69822857193.8508,69822.8571938508
"Papua New Guinea",39463680818.3207,39463.6808183207
"Papua New Guinea",39463680818.3207,39463.6808183207
"Solomon Islands",29047728527.4503,29047.7285274503
"Solomon Islands",29047728527.4503,29047.7285274503
