"Cnt","Est","Est.km"
"Line Group",180221835593.918,180221.835593918
"Pitcairn",226739704084.739,226739.704084739
"French Polynesia",3808010829048.13,3808010.82904813
"Line Group",180221835593.918,180221.835593918
"Pitcairn",226739704084.739,226739.704084739
"French Polynesia",3808010829048.13,3808010.82904813
"Line Group",180221835593.918,180221.835593918
"Pitcairn",226739704084.739,226739.704084739
"French Polynesia",3808010829048.13,3808010.82904813
"Line Group",180221835593.918,180221.835593918
"Pitcairn",226739704084.739,226739.704084739
"French Polynesia",3808010829048.13,3808010.82904813
