"V1","V2","Est.km","Reg"
19176232493149.8,19176232493149.8,19176232.4931498,"reg1.ll"
16932524134540.6,16932524134540.6,16932524.1345406,"reg2.ll"
5294105408609.85,5294105408609.85,5294105.40860985,"reg3.ll"
10206356185320,10206356185320,10206356.18532,"reg4.ll"
9463791225218.87,9463791225218.87,9463791.22521887,"reg5.ll"
13508015142374,13508015142374,13508015.142374,"reg6.ll"
11149340974755.4,11149340974755.4,11149340.9747554,"reg7.ll"
2166698421037.18,2166698421037.18,2166698.42103718,"reg8.ll"
588591580268.955,588591580268.955,588591.580268955,"reg9.ll"
8144093720742.31,8144093720742.31,8144093.72074231,"regOvLap.ll"
