"Cnt","Est","Est.km"
"Vanuatu",69177251387.516,69177.251387516
"Vanuatu",69177251387.516,69177.251387516
"Marshall Islands",44342487667.2931,44342.4876672931
"Marshall Islands",44342487667.2931,44342.4876672931
"Papua New Guinea",770694156.081663,770.694156081663
"Papua New Guinea",770694156.081663,770.694156081663
"Solomon Islands",54101373273.3518,54101.3732733518
"Solomon Islands",54101373273.3518,54101.3732733518
"Vanuatu",69177251387.516,69177.251387516
"Vanuatu",69177251387.516,69177.251387516
"Marshall Islands",44342487667.2931,44342.4876672931
"Marshall Islands",44342487667.2931,44342.4876672931
"Papua New Guinea",770694156.081663,770.694156081663
"Papua New Guinea",770694156.081663,770.694156081663
"Solomon Islands",54101373273.3518,54101.3732733518
"Solomon Islands",54101373273.3518,54101.3732733518
