"Cnt","Est","Est.km"
"Vietnam",279654569562.287,279654.569562287
"Philippines",1870226737091.8,1870226.7370918
"China",91548427500.7406,91548.4275007406
"China",337104715029.402,337104.715029402
"Taiwan",80509250605.6072,80509.2506056072
"Palau",558841869904.891,558841.869904891
"Malaysia",263097975255.212,263097.975255212
"Indonesia",2970944657540.93,2970944.65754093
"Brunei",43143610389.6964,43143.6103896963
"East Timor",4915603192.18107,4915.60319218107
"Micronesia",228814096623.693,228814.096623693
"Vietnam",279654569562.287,279654.569562287
"Philippines",1870226737091.8,1870226.7370918
"China",91548427500.7406,91548.4275007406
"China",337104715029.402,337104.715029402
"Taiwan",80509250605.6072,80509.2506056072
"Palau",558841869904.891,558841.869904891
"Malaysia",263097975255.212,263097.975255212
"Indonesia",2970944657540.93,2970944.65754093
"Brunei",43143610389.6964,43143.6103896963
"East Timor",4915603192.18107,4915.60319218107
"Micronesia",228814096623.693,228814.096623693
"Vietnam",279654569562.287,279654.569562287
"Philippines",1870226737091.8,1870226.7370918
"China",91548427500.7406,91548.4275007406
"China",337104715029.402,337104.715029402
"Taiwan",80509250605.6072,80509.2506056072
"Palau",558841869904.891,558841.869904891
"Malaysia",263097975255.212,263097.975255212
"Indonesia",2970944657540.93,2970944.65754093
"Brunei",43143610389.6964,43143.6103896963
"East Timor",4915603192.18107,4915.60319218107
"Micronesia",228814096623.693,228814.096623693
"Vietnam",279654569562.287,279654.569562287
"Philippines",1870226737091.8,1870226.7370918
"China",91548427500.7406,91548.4275007406
"China",337104715029.402,337104.715029402
"Taiwan",80509250605.6072,80509.2506056072
"Palau",558841869904.891,558841.869904891
"Malaysia",263097975255.212,263097.975255212
"Indonesia",2970944657540.93,2970944.65754093
"Brunei",43143610389.6964,43143.6103896963
"East Timor",4915603192.18107,4915.60319218107
"Micronesia",228814096623.693,228814.096623693
