yy,flag,eez,fleet,alb_kg,alb_mt,bet_kg,bet_mt,skj_kg,skj_mt,yft_kg,yft_mt,oth_kg,oth_mt
1990,AU,AU,AU,123534.819,123.535,23397.122,23.397,63000,63,785720.129,785.720,0,0
1990,AU,AU,JV,145000,145,6000,6,0,0,4000,4,0,0
1990,AU,I7,AU,419.575,0.420,253.968,0.254,0,0,247.323,0.247,0,0
1990,AU,NF,AU,45.606,0.046,348.910,0.349,0,0,32.540,0.033,0,0
1990,CN,FM,,0,0,570,0.570,0,0,815,0.815,0,0
1990,CN,I1,,443,0.443,34720,34.720,0,0,21836,21.836,0,0
1990,CN,I4,,0,0,43275.500,43.276,0,0,33008,33.008,0,0
1990,CN,I5,,0,0,43275.500,43.276,0,0,33008,33.008,0,0
1990,CN,I7,,385,0.385,0,0,0,0,0,0,0,0
1990,CN,PW,,3172,3.172,154159,154.159,0,0,84333,84.333,0,0
1990,FJ,FJ,,68000,68,27000,27,0,0,23000,23,0,0
1990,ID,ID,,0,0,2342000,2342,0,0,10417000,10417,0,0
1990,JP,AU,DW,1547534.970,1547.535,759418.849,759.419,7414,7.414,2616544.950,2616.545,0,0
1990,JP,FM,DW,9117.049,9.117,8021646.107,8021.646,0,0,6739218.145,6739.218,0,0
1990,JP,GL,DW,269.939,0.270,73474.086,73.474,0,0,119672.003,119.672,0,0
1990,JP,H5,DW,69.519,0.070,2429.756,2.430,0,0,3169.143,3.169,0,0
1990,JP,I1,DW,892.649,0.893,2990130.758,2990.131,0,0,2478560.581,2478.561,0,0
1990,JP,I2,DW,3933.227,3.933,1544260.624,1544.261,0,0,1826710.188,1826.710,0,0
1990,JP,I3,DW,14383.826,14.384,1046072.832,1046.073,0,0,818166.249,818.166,0,0
1990,JP,I4,DW,77652.937,77.653,6298365.477,6298.365,0,0,3543444.305,3543.444,0,0
1990,JP,I5,DW,44515.719,44.516,8050206.715,8050.207,0,0,1977530.279,1977.530,0,0
1990,JP,I6,DW,6452925.516,6452.926,8407174.293,8407.174,0,0,1148726.448,1148.726,0,0
1990,JP,I7,DW,1981782.415,1981.782,858784.082,858.784,0,0,1705188.558,1705.189,0,0
1990,JP,ID,DW,0,0,2023.075,2.023,0,0,6597.010,6.597,0,0
1990,JP,JP,CS,6513000,6513,7053000,7053,57000,57,7800000,7800,0,0
1990,JP,JP,DW,1199713.246,1199.713,765897.768,765.898,0,0,173116.909,173.117,0,0
1990,JP,LN,DW,50.044,0.050,75668.010,75.668,0,0,82684.082,82.684,0,0
1990,JP,MH,DW,13253.038,13.253,1841855.826,1841.856,0,0,1068266.983,1068.267,0,0
1990,JP,NC,DW,388405.942,388.406,22570.997,22.571,20,0.020,431645.861,431.646,0,0
1990,JP,NF,DW,61756.958,61.757,59516.114,59.516,102,0.102,105955.069,105.955,0,0
1990,JP,NZ,DW,416979.952,416.980,331876.022,331.876,5,0.005,27759.936,27.760,0,0
1990,JP,PF,DW,41103.019,41.103,461893.794,461.894,0,0,132076.904,132.077,0,0
1990,JP,PW,DW,6683.034,6.683,766297.994,766.298,0,0,759859.995,759.860,0,0
1990,JP,SB,DW,64977.002,64.977,655436.821,655.437,0,0,3014106.115,3014.106,0,0
1990,KR,CK,,97940,97.940,34569,34.569,1451,1.451,94138,94.138,0,0
1990,KR,FM,,0,0,6350,6.350,0,0,1145,1.145,0,0
1990,KR,GL,,4080,4.080,535312,535.312,150,0.150,469927,469.927,0,0
1990,KR,H4,,9931,9.931,47894,47.894,0,0,40373,40.373,0,0
1990,KR,H5,,9337,9.337,78957,78.957,497,0.497,109309,109.309,0,0
1990,KR,I1,,0,0,3990,3.990,0,0,715,0.715,0,0
1990,KR,I2,,96900,96.900,74694,74.694,481,0.481,240595,240.595,0,0
1990,KR,I4,,0,0,7179415.587,7179.416,2021,2.021,4598793,4598.793,0,0
1990,KR,I5,,0,0,7179415.587,7179.416,2021,2.021,4598793,4598.793,0,0
1990,KR,I6,,4257,4.257,2033,2.033,0,0,336,0.336,0,0
1990,KR,I7,,135464,135.464,9159,9.159,858,0.858,20002,20.002,0,0
1990,KR,I8,,38466,38.466,6192,6.192,53,0.053,57118,57.118,0,0
1990,KR,I9,,1614,1.614,230,0.230,46,0.046,900,0.900,0,0
1990,KR,IW,,1820,1.820,1672,1.672,0,0,1715,1.715,0,0
1990,KR,LN,,76471,76.471,1264576,1264.576,0,0,993088,993.088,0,0
1990,KR,PF,,306393,306.393,495020,495.020,412,0.412,467895,467.895,0,0
1990,KR,PG,,378657,378.657,39690,39.690,1128,1.128,288608,288.608,0,0
1990,KR,PX,,32944,32.944,319457,319.457,0,0,451857,451.857,0,0
1990,KR,SB,,209023,209.023,25549,25.549,1854,1.854,122730,122.730,0,0
1990,KR,TV,,249641,249.641,101825,101.825,1028,1.028,408963,408.963,0,0
1990,NC,I7,,26729.699,26.730,774.402,0.774,0,0,3547.386,3.547,0,0
1990,NC,MA,,10514.742,10.515,284.351,0.284,0,0,5167.184,5.167,0,0
1990,NC,NC,,1015755.558,1015.756,58941.248,58.941,0,0,608285.430,608.285,0,0
1990,NZ,I7,,1514.860,1.515,0,0,0,0,0,0,0,0
1990,NZ,NZ,,168485.140,168.485,30000,30,0,0,4000,4,0,0
1990,PF,PF,,20000,20,4000,4,0,0,6000,6,0,0
1990,PH,PH,,0,0,59000,59,0,0,484000,484,0,0
1990,TO,I7,,64331.846,64.332,1516.485,1.516,795.380,0.795,3742.060,3.742,0,0
1990,TO,TO,,87668.154,87.668,9483.515,9.484,1204.620,1.205,23257.940,23.258,0,0
1990,TW,CK,DW,225369,225.369,23372,23.372,1622,1.622,32984,32.984,0,0
1990,TW,FJ,DW,6665,6.665,245,0.245,0,0,494,0.494,0,0
1990,TW,FM,OS,5801,5.801,118669,118.669,0,0,123245,123.245,0,0
1990,TW,H5,DW,6016,6.016,992,0.992,0,0,6035,6.035,0,0
1990,TW,I1,OS,1617,1.617,1836557.078,1836.557,0,0,2024782.900,2024.783,0,0
1990,TW,I2,OS,0,0,420,0.420,0,0,30,0.030,0,0
1990,TW,I3,OS,0,0,787095.891,787.096,0,0,867764.100,867.764,0,0
1990,TW,I4,DW,0,0,785390.008,785.390,0,0,852258.510,852.259,0,0
1990,TW,I5,DW,0,0,785390.008,785.390,0,0,852258.510,852.259,0,0
1990,TW,I6,OD,174000,174,123000,123,60600,60.600,3240300,3240.300,0,0
1990,TW,I7,DW,9419526.200,9419.526,0,0,0,0,0,0,0,0
1990,TW,I8,DW,10349,10.349,205,0.205,27,0.027,1596,1.596,0,0
1990,TW,I9,DW,4202,4.202,83,0.083,0,0,543,0.543,0,0
1990,TW,ID,OS,0,0,19466,19.466,0,0,36813,36.813,0,0
1990,TW,LN,DW,300,0.300,45893,45.893,0,0,76212,76.212,0,0
1990,TW,MH,OS,0,0,1361,1.361,0,0,1045,1.045,0,0
1990,TW,PG,OS,120,0.120,10330,10.330,0,0,15115,15.115,0,0
1990,TW,PH,OD,0,0,82000,82,40400,40.400,2160200,2160.200,0,0
1990,TW,PH,OS,1219,1.219,5755,5.755,0,0,4440,4.440,0,0
1990,TW,PW,OS,2275,2.275,303261,303.261,0,0,324630,324.630,0,0
1990,TW,SB,DW,66478,66.478,1322,1.322,7,0.007,6079,6.079,0,0
1990,TW,SB,OS,0,0,7085,7.085,0,0,1135,1.135,0,0
1990,TW,TW,OD,174000,174,205000,205,101000,101,5400500,5400.500,0,0
1990,TW,VU,DW,263095,263.095,13108,13.108,1501,1.501,81540,81.540,0,0
1990,US,HW,HW,75836.388,75.836,1064792.802,1064.793,0,0,689984.297,689.984,0,0
1990,US,I5,HW,0,0,6840.988,6.841,0,0,3481.697,3.482,0,0
1990,US,I6,HW,106163.612,106.164,448366.210,448.366,0,0,409534.017,409.534,0,0
1991,AU,AU,AU,157824.792,157.825,26886.789,26.887,65675.710,65.676,804092.387,804.092,0,0
1991,AU,AU,JV,67000,67,0,0,0,0,0,0,0,0
1991,AU,I7,AU,175.208,0.175,113.211,0.113,324.290,0.324,2907.613,2.908,0,0
1991,CN,FM,,0,0,8415,8.415,0,0,8405,8.405,0,0
1991,CN,I1,,0,0,6693,6.693,0,0,4251,4.251,0,0
1991,CN,I4,,0,0,73369.997,73.370,0,0,70374.500,70.375,0,0
1991,CN,I5,,0,0,73369.997,73.370,0,0,70374.500,70.375,0,0
1991,CN,PW,,0,0,364152,364.152,0,0,327595,327.595,0,0
1991,FJ,FJ,,208000,208,123000,123,0,0,106000,106,0,0
1991,FM,FM,,0,0,12000,12,0,0,11000,11,0,0
1991,ID,ID,,0,0,2395000,2395,0,0,10653000,10653,0,0
1991,JP,AU,DW,770337.027,770.337,275092.040,275.092,8875,8.875,1090536.007,1090.536,0,0
1991,JP,FM,DW,11000.018,11,4561163.860,4561.164,0,0,5198490.977,5198.491,0,0
1991,JP,GL,DW,1220.049,1.220,107280.137,107.280,0,0,182123.046,182.123,0,0
1991,JP,H5,DW,0,0,19740.802,19.741,0,0,40196.015,40.196,0,0
1991,JP,I1,DW,50.574,0.051,901127.593,901.128,0,0,934555.676,934.556,0,0
1991,JP,I2,DW,1991.306,1.991,381124.712,381.125,0,0,488285.980,488.286,0,0
1991,JP,I3,DW,41819.559,41.820,1520010.008,1520.010,0,0,1456979.545,1456.980,0,0
1991,JP,I4,DW,223471.631,223.472,6327572.984,6327.573,0,0,2946220.314,2946.220,0,0
1991,JP,I5,DW,110301.274,110.301,3774238.895,3774.239,0,0,1059683.699,1059.684,0,0
1991,JP,I6,DW,6569358.632,6569.359,7913637.354,7913.637,0,0,1306929.657,1306.930,0,0
1991,JP,I7,DW,1711649.695,1711.650,386053.908,386.054,0,0,1093689.922,1093.690,0,0
1991,JP,I9,DW,4571.490,4.571,13386.768,13.387,0,0,2717.403,2.717,0,0
1991,JP,ID,DW,0,0,2587.928,2.588,0,0,1065.073,1.065,0,0
1991,JP,IW,DW,0,0,22641.596,22.642,0,0,3373.010,3.373,0,0
1991,JP,JP,CS,6664000,6664,7025000,7025,82000,82,8034000,8034,0,0
1991,JP,JP,DW,1083982.711,1083.983,579784.505,579.785,0,0,416362.955,416.363,0,0
1991,JP,LN,DW,0,0,4199.994,4.200,0,0,10199.959,10.200,0,0
1991,JP,MH,DW,29494.987,29.495,1652197.873,1652.198,0,0,1335786.002,1335.786,0,0
1991,JP,NC,DW,201932.023,201.932,9126.110,9.126,0,0,156970.974,156.971,0,0
1991,JP,NF,DW,3322.014,3.322,2898.023,2.898,0,0,3219.958,3.220,0,0
1991,JP,NZ,DW,348912.965,348.913,93892.138,93.892,0,0,6579.969,6.580,0,0
1991,JP,PF,DW,10488.009,10.488,307514.119,307.514,0,0,100108.037,100.108,0,0
1991,JP,PW,DW,580.038,0.580,509426.990,509.427,0,0,349873.060,349.873,0,0
1991,JP,PX,DW,280.956,0.281,19993.005,19.993,0,0,31499.947,31.500,0,0
1991,JP,SB,DW,64235.042,64.235,1409308.966,1409.309,0,0,2750553.022,2750.553,0,0
1991,KR,CK,,9794,9.794,13995,13.995,530,0.530,12932,12.932,0,0
1991,KR,FM,,0,0,5220,5.220,0,0,11505,11.505,0,0
1991,KR,GL,,22220,22.220,282437,282.437,0,0,288038,288.038,0,0
1991,KR,H4,,23273,23.273,67390,67.390,100,0.100,93804,93.804,0,0
1991,KR,H5,,7907,7.907,52863,52.863,0,0,54713,54.713,0,0
1991,KR,I2,,9335,9.335,11043,11.043,250,0.250,68768,68.768,0,0
1991,KR,I4,,364940.006,364.940,5155858.500,5155.859,4165,4.165,2719974.074,2719.974,0,0
1991,KR,I5,,364940.006,364.940,5155858.500,5155.859,4165,4.165,2719974.074,2719.974,0,0
1991,KR,I7,,108810,108.810,1508,1.508,280,0.280,3525,3.525,0,0
1991,KR,I8,,197,0.197,58,0.058,0,0,25,0.025,0,0
1991,KR,LN,,92443,92.443,775480,775.480,10,0.010,640141,640.141,0,0
1991,KR,PF,,139303,139.303,674433,674.433,50,0.050,294884,294.884,0,0
1991,KR,PG,,2428,2.428,6619,6.619,0,0,12288,12.288,0,0
1991,KR,PX,,44454,44.454,303831,303.831,0,0,420857,420.857,0,0
1991,KR,SB,,21694,21.694,1657,1.657,0,0,6064,6.064,0,0
1991,KR,TV,,66262,66.262,35749,35.749,1450,1.450,72508,72.508,0,0
