yy,flag,eez,days,bet_kg,bet_mt,skj_kg,skj_mt,yft_kg,yft_mt
1990,AU,AU,61,0,0,121000,121,0,0
1990,AU,FM,89.913,41362.126,41.362,758305.386,758.305,220046.509,220.047
1990,AU,I1,34.348,7724.252,7.724,236861.967,236.862,41093.022,41.093
1990,AU,I2,23.235,10215.947,10.216,205627.422,205.627,54348.839,54.349
1990,AU,PG,246.503,165697.675,165.698,1873205.194,1873.205,881511.629,881.512
1990,ID,ID,0,974000,974,24210000,24210,7273000,7273
1990,JP,FM,4101.145,749000.027,749,79624000.025,79624,16232999.987,16233
1990,JP,H5,1.237,0,0,0,0,0,0
1990,JP,I1,1578.116,3521561.482,3521.561,24049337.776,24049.338,8790634.988,8790.635
1990,JP,I2,857.047,3745413.721,3745.414,14674657.661,14674.658,6015437.039,6015.437
1990,JP,I3,9.894,0,0,0,0,0,0
1990,JP,I4,8.657,1501.119,1.501,3144.482,3.144,986.724,0.987
1990,JP,I5,14.841,84023.677,84.024,394955.644,394.956,91034.392,91.034
1990,JP,I6,1034.848,160900.004,160.900,6338802.243,6338.802,1565501.981,1565.502
1990,JP,ID,8,0,0,34999.909,35,165000.176,165
1990,JP,JP,881.639,435599.989,435.600,9601102.456,9601.102,5506405.177,5506.405
1990,JP,MP,1.047,0,0,0,0,0,0
1990,JP,PW,85.877,5999.980,6,745999.806,746,1022999.924,1023
1990,KR,FM,170.835,116006,116.006,1741654,1741.654,489020,489.020
1990,KR,I1,132.871,219237,219.237,2456012,2456.012,736580,736.580
1990,KR,I2,41.127,15336,15.336,218818,218.818,85712,85.712
1990,KR,ID,36.380,3406,3.406,55054,55.054,27313,27.313
1990,KR,NR,3.164,0,0,0,0,0,0
1990,KR,PG,7108.627,6890078,6890.078,109468157,109468.157,46983435,46983.435
1990,KR,SB,31.636,134434,134.434,1184216,1184.216,2126536,2126.536
1990,NZ,I7,5,0,0,75377,75.377,0,0
1990,NZ,NZ,222,0,0,3883623,3883.623,0,0
1990,PH,FM,19.074,25356,25.356,265985,265.985,132105,132.105
1990,PH,I2,27.105,67267,67.267,528081,528.081,372016,372.016
1990,PH,PG,1764.821,1160739,1160.739,12334469,12334.469,9115004,9115.004
1990,PH,PH,0,1613000,1613,53751000,53751,14515000,14515
1990,SB,I2,11,8882,8.882,194996,194.996,136483,136.483
1990,SB,PG,2,3679,3.679,33634,33.634,29754,29.754
1990,SB,SB,315,204185,204.185,3698647,3698.647,3774739,3774.739
1990,SU,GL,0,5000,5,1505000,1505,616000,616
1990,TW,FM,472.630,983077,983.077,7763238,7763.238,3315700,3315.700
1990,TW,I1,445.919,1217666,1217.666,9453389,9453.389,3350730,3350.730
