"yy",2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"AS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AU",119.623,109.039,101.955,53.356,49.877,23.468,37.554,20.473,16.184,39.764,30.51,51.674,25.214,67.764,27.841,8.545
"CN",7785.525,10443.725,6438.245,11580.522,8045.257,8847.927,10822.682,9526.961,6107.607,4415.238,5318.34,2740.528,1741.461,4457.966,5195.709,7692.485
"CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CK",2.557,2.442,6.107,3.615,23.578,28.296,14.548,12.074,2.052,24.522,31.867,0,0.267,16.953,10.01,19.358
"EU",0,42,17,62,62,77,46,15,10,23,23,65,53,53,21,39
"FM",0.314,26.401,16.408,10.771,145.976,62.175,80.278,78.051,386.292,483.032,89.437,996.766,261.91,714.657,725.573,2385.972
"FJ",139.524,401.523,248.845,101.281,82.654,83.918,96.403,40.611,308.355,482.246,365.377,624.164,439.907,369.674,225.056,186.573
"PF",0.624,2.018,39.183,21.52,6.227,4.397,0.076,0.195,0.121,0.672,1.874,0.32,0,0.217,0,0.148
"GU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ID",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JP",12928.325,17136.719,10529.752,10077.362,11848.165,6844.224,5545.761,5847.968,4418.787,4579.359,3807.684,3073.985,3420.176,3150.526,1024.615,2769.472
"KI",0.161,0,0,0,0,3.023,0,0,65.705,185.137,218.924,37.263,513.448,140.519,20.869,249.506
"KR",14403.248,13948.123,13420.617,9406.337,5174.131,12785.183,10007.825,10753.246,12140.73,14453.997,10125.883,5518.337,4443.403,6261.157,9284.079,12637.487
"MH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NC",0.199,2.156,0.445,0,0.333,0.678,0.255,0.113,0,0.105,0.637,0.202,0.221,0.516,0.107,0.186
"NZ",1.228,0.534,0.195,0.135,0.435,0,0.053,1.228,0,0,0,0,0,0,0,0
"NU",0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0
"MP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PG",0,0,0,0,0,13.887,5.099,0,0,10.411,0,0,0,0,43.433,0
"PH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WS",0,0,0,0,0,0,0,0,0,0.031,0,0.755,0,0,18.791,4.03
"SB",0.199,0.435,0,0,0,0,0,99.037,41.078,0,0,719.6,672.286,0,0,9.282
"TW",11529.283,18109.897,12411.085,10551.122,11301.706,10880.93,8943.267,9778.518,7143.816,6240.503,6340.873,4976.745,6414.851,5661.019,6697.174,7230.975
"TK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TO",14.486,0.84,1.802,2.685,1.256,0,0,0,0,0,0.173,3.402,0,0,0.321,0.031
"TV",0,0,0,0,0,0,0,0,30.774,429.416,31.261,18.633,6.472,19.742,24.902,9.691
"US",2211.939,2346.314,2512.165,2259.542,3206.382,2939.523,2447.992,2648.937,2470.399,2647.226,2525.318,3154.267,2274.473,2733.047,1992.274,2192.909
"VU",373.825,1307.89,1245.768,1016.956,1432.457,716.51,679.535,1315.744,1265.099,972.304,1311.148,1405.336,3728.067,1864.721,3767.303,2459.01
"WF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
