ccm,year,catch
AS,2002,0
AU,2002,62.348
CN,2002,1366.21
CA,2002,0
CK,2002,0
EU,2002,0
FM,2002,0
FJ,2002,124.751
PF,2002,0.389
GU,2002,0
ID,2002,0
JP,2002,18513.386
KI,2002,0
KR,2002,22897.691
MH,2002,0
NR,2002,0
NC,2002,0.068
NZ,2002,2.658
NU,2002,0
MP,2002,0
PW,2002,0
PG,2002,0
PH,2002,0
WS,2002,0
SB,2002,0
TW,2002,14273.663
TK,2002,0
TO,2002,50.607
TV,2002,0
US,2002,2074.658
VU,2002,216.017
WF,2002,0
AS,2003,0
AU,2003,119.623
CN,2003,7785.525
CA,2003,0
CK,2003,2.557
EU,2003,0
FM,2003,0.314
FJ,2003,139.524
PF,2003,0.624
GU,2003,0
ID,2003,0
JP,2003,12928.325
KI,2003,0.161
KR,2003,14403.248
MH,2003,0
NR,2003,0
NC,2003,0.199
NZ,2003,1.228
NU,2003,0
MP,2003,0
PW,2003,0
PG,2003,0
PH,2003,0
WS,2003,0
SB,2003,0.199
TW,2003,11529.283
TK,2003,0
TO,2003,14.486
TV,2003,0
US,2003,2195.251
VU,2003,373.825
WF,2003,0
AS,2004,0
AU,2004,109.039
CN,2004,10443.725
CA,2004,0
CK,2004,2.442
EU,2004,42
FM,2004,26.401
FJ,2004,401.523
PF,2004,2.018
GU,2004,0
ID,2004,0
JP,2004,17136.719
KI,2004,0
KR,2004,13948.123
MH,2004,0
NR,2004,0
NC,2004,2.156
NZ,2004,0.534
NU,2004,0
MP,2004,0
PW,2004,0
PG,2004,0
PH,2004,0
WS,2004,0
SB,2004,0.435
TW,2004,18109.897
TK,2004,0
TO,2004,0.84
TV,2004,0
US,2004,2301.04
VU,2004,1307.89
WF,2004,0
AS,2005,0
AU,2005,101.955
CN,2005,6438.245
CA,2005,0
CK,2005,6.107
EU,2005,17
FM,2005,16.408
FJ,2005,248.845
PF,2005,39.183
GU,2005,0
ID,2005,0
JP,2005,10529.752
KI,2005,0
KR,2005,13420.617
MH,2005,0
NR,2005,0
NC,2005,0.445
NZ,2005,0.195
NU,2005,0
MP,2005,0
PW,2005,0
PG,2005,0
PH,2005,0
WS,2005,0
SB,2005,0
TW,2005,12411.085
TK,2005,0
TO,2005,1.802
TV,2005,0
US,2005,2510.083
VU,2005,1245.768
WF,2005,0
AS,2006,0
AU,2006,53.356
CN,2006,11580.522
CA,2006,0
CK,2006,3.615
EU,2006,62
FM,2006,10.771
FJ,2006,101.281
PF,2006,21.52
GU,2006,0
ID,2006,0
JP,2006,10077.362
KI,2006,0
KR,2006,9406.337
MH,2006,0
NR,2006,0
NC,2006,0
NZ,2006,0.135
NU,2006,0.04
MP,2006,0
PW,2006,0
PG,2006,0
PH,2006,0
WS,2006,0
SB,2006,0
TW,2006,10551.122
TK,2006,0
TO,2006,2.685
TV,2006,0
US,2006,2259.542
VU,2006,1016.956
WF,2006,0
AS,2007,0
AU,2007,49.877
CN,2007,8045.257
CA,2007,0
CK,2007,23.578
EU,2007,62
FM,2007,145.976
FJ,2007,82.654
PF,2007,6.227
GU,2007,0
ID,2007,0
JP,2007,11848.165
KI,2007,0
KR,2007,5174.131
MH,2007,0
NR,2007,0
NC,2007,0.333
NZ,2007,0.435
NU,2007,0
MP,2007,0
PW,2007,0
PG,2007,0
PH,2007,0
WS,2007,0
SB,2007,0
TW,2007,11301.706
TK,2007,0
TO,2007,1.256
TV,2007,0
US,2007,3161.357
VU,2007,1432.457
WF,2007,0
AS,2008,0
AU,2008,23.468
CN,2008,8847.927
CA,2008,0
CK,2008,28.296
EU,2008,77
FM,2008,62.175
FJ,2008,83.918
PF,2008,4.397
GU,2008,0
ID,2008,0
JP,2008,6844.224
KI,2008,3.023
KR,2008,12785.183
MH,2008,0
NR,2008,0
NC,2008,0.678
NZ,2008,0
NU,2008,0
MP,2008,0
PW,2008,0
PG,2008,13.887
PH,2008,0
WS,2008,0
SB,2008,0
TW,2008,10880.93
TK,2008,0
TO,2008,0
TV,2008,0
US,2008,2929.646
VU,2008,716.51
WF,2008,0
AS,2009,0
AU,2009,37.554
CN,2009,10822.682
CA,2009,0
CK,2009,14.548
EU,2009,46
FM,2009,80.278
FJ,2009,96.403
PF,2009,0.076
GU,2009,0
ID,2009,0
JP,2009,5545.761
KI,2009,0
KR,2009,10007.825
MH,2009,0
NR,2009,0
NC,2009,0.255
NZ,2009,0.053
NU,2009,0
MP,2009,0
PW,2009,0
PG,2009,5.099
PH,2009,0
WS,2009,0
SB,2009,0
TW,2009,8943.267
TK,2009,0
TO,2009,0
TV,2009,0
US,2009,2439.602
VU,2009,679.535
WF,2009,0
AS,2010,0
AU,2010,20.473
CN,2010,9526.961
CA,2010,0
CK,2010,12.074
EU,2010,15
FM,2010,63.044
FJ,2010,40.611
PF,2010,0.195
GU,2010,0
ID,2010,0
JP,2010,5847.968
KI,2010,0
KR,2010,10753.246
MH,2010,0
NR,2010,0
NC,2010,0.113
NZ,2010,1.228
NU,2010,0
MP,2010,0
PW,2010,0
PG,2010,0
PH,2010,0
WS,2010,0
SB,2010,99.037
TW,2010,9778.518
TK,2010,0
TO,2010,0
TV,2010,0
US,2010,2610.503
VU,2010,1315.744
WF,2010,0
AS,2011,0
AU,2011,16.184
CN,2011,6107.607
CA,2011,0
CK,2011,2.052
EU,2011,10
FM,2011,177.568
FJ,2011,308.355
PF,2011,0.121
GU,2011,0
ID,2011,0
JP,2011,4418.787
KI,2011,54.501
KR,2011,12140.73
MH,2011,0
NR,2011,0
NC,2011,0
NZ,2011,0
NU,2011,0
MP,2011,0
PW,2011,0
PG,2011,0
PH,2011,0
WS,2011,0
SB,2011,41.078
TW,2011,7143.816
TK,2011,0
TO,2011,0
TV,2011,30.774
US,2011,2409.741
VU,2011,1265.099
WF,2011,0
AS,2012,0
AU,2012,39.764
CN,2012,4415.238
CA,2012,0
CK,2012,24.522
EU,2012,23
FM,2012,83.385
FJ,2012,482.246
PF,2012,0.672
GU,2012,0
ID,2012,0
JP,2012,4579.359
KI,2012,185.137
KR,2012,14453.997
MH,2012,0
NR,2012,0
NC,2012,0.105
NZ,2012,0
NU,2012,0
MP,2012,0
PW,2012,0
PG,2012,10.411
PH,2012,0
WS,2012,0.031
SB,2012,0
TW,2012,6240.503
TK,2012,0
TO,2012,0
TV,2012,429.416
US,2012,2497.895
VU,2012,972.304
WF,2012,0
AS,2013,0
AU,2013,30.51
CN,2013,5318.34
CA,2013,0
CK,2013,31.867
EU,2013,23
FM,2013,95.514
FJ,2013,365.377
PF,2013,1.874
GU,2013,0
ID,2013,0
JP,2013,3807.684
KI,2013,218.924
KR,2013,10125.883
MH,2013,0
NR,2013,0
NC,2013,0.637
NZ,2013,0
NU,2013,0
MP,2013,0
PW,2013,0
PG,2013,0
PH,2013,0
WS,2013,0
SB,2013,0
TW,2013,6340.873
TK,2013,0
TO,2013,0.173
TV,2013,31.261
US,2013,2496.342
VU,2013,853.784
WF,2013,0
AS,2014,0
AU,2014,51.674
CN,2014,2740.528
CA,2014,0
CK,2014,0
EU,2014,65
FM,2014,85.54
FJ,2014,624.164
PF,2014,0.32
GU,2014,0
ID,2014,0
JP,2014,3073.985
KI,2014,37.263
KR,2014,5518.337
MH,2014,0
NR,2014,0
NC,2014,0.202
NZ,2014,0
NU,2014,0
MP,2014,0
PW,2014,0
PG,2014,0
PH,2014,0
WS,2014,0.755
SB,2014,719.6
TW,2014,4966.745
TK,2014,0
TO,2014,3.402
TV,2014,18.633
US,2014,3117.539
VU,2014,1405.336
WF,2014,0
AS,2015,0
AU,2015,25.214
CN,2015,1741.461
CA,2015,0
CK,2015,0.267
EU,2015,53
FM,2015,168.028
FJ,2015,439.906
PF,2015,0
GU,2015,0
ID,2015,0
JP,2015,3664.251
KI,2015,2141.965
KR,2015,4443.403
MH,2015,0
NR,2015,0
NC,2015,0.221
NZ,2015,0
NU,2015,0
MP,2015,0
PW,2015,0
PG,2015,0
PH,2015,0
WS,2015,0
SB,2015,672.286
TW,2015,6427.34
TK,2015,0
TO,2015,0
TV,2015,6.472
US,2015,2266.281
VU,2015,3668.069
WF,2015,0
AS,2016,0
AU,2016,67.769
CN,2016,3955.914
CA,2016,0
CK,2016,17.116
EU,2016,53
FM,2016,91.608
FJ,2016,370.886
PF,2016,0.217
GU,2016,0
ID,2016,0
JP,2016,4167.136
KI,2016,126.934
KR,2016,6261.157
MH,2016,0
NR,2016,0
NC,2016,0.516
NZ,2016,0
NU,2016,0
MP,2016,0
PW,2016,0
PG,2016,0
PH,2016,0
WS,2016,0
SB,2016,0
TW,2016,6404.635
TK,2016,0
TO,2016,0
TV,2016,19.742
US,2016,2727.38
VU,2016,1864.098
WF,2016,0
