"yy",2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"AS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CN",0,0,241.184,453.448,32.946,0,0,5.442,119.567,0,19.757,0,0,655.502,549.271,10.258
"CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EU",2288,4659,4052.179,3431,11033.999,10714.435,21333.023,14163.654,12223.069,16624.389,17798.105,21542.123,20884.797,19732.785,8507.999,11532
"FM",2801.135,327.218,902.012,697.779,17.148,0,0,258.306,0,0,443.797,0,63.664,14471.402,7883.559,10702.036
"FJ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ID",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JP",9335.65,4786.817,6003.99,1175.42,554.764,341.922,95.002,5,0,18.217,0,0,210,3784.288,285,10
"KI",0,0,6.58,0,0,0,0,3622.71,5018.908,11878.649,5984.624,5940.662,30770.358,33631.207,31392.793,24896.383
"KR",20451.07,10.212,22.344,18816.546,11648.434,1398.244,2230.859,37804.03,6040.322,36.965,154.41,0,10102.52,12691.406,16796.157,6553.256
"MH",626.64,6841.203,9140.801,11675.182,2762.791,1761.023,1404.295,5836.266,2346.109,0,0,0,18.169,30688.589,12816.944,20939.573
"NR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NZ",4768.143,3239.858,1249.02,905.86,2110.064,1686.357,514.886,4438.715,801.479,994.354,1836.872,0,333.308,1276.132,2067.804,3737.97
"NU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PG",3972.286,505.21,2358.718,1593.582,2163.468,263.624,39.281,4510.926,248.83,0,0,0,1364.27,42475.154,1884.231,0
"PH",2.714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1386.974,1274.921
"TW",16971.914,1347.42,929.67,2830.506,2406.598,797.08,373.773,5629.29,1022.796,345.742,19.056,1464.521,1280.707,4750.946,3730.377,1800.256
"TK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TV",0,0,0,0,0,0,0,1827.007,134.818,0,0,0,0,2312.752,3984.592,2609.152
"US",21416.343,4795.248,7173.928,11558.858,5180.283,9357.535,4943.615,22076.114,10001.208,13258.2,35350.561,19979.989,40725.437,77020.301,56417.787,18268.546
"VU",4292.497,2023.634,7240.109,7361.67,9034.284,1245.976,379.089,1491.538,1603.259,24.393,0,0,0,0,4393.997,5659.989
"WF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
