"yy",2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"AS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CN",2626.402,7169.111,12549.28,3574.998,5877.388,2927.684,25855.039,119.567,0,24.956,173.264,4.169,655.501,549.271,10.258,148.871
"CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EU",4659,4052.179,3431,11033.999,12853.647,23212.013,14189.038,12223.069,16624.389,17798.105,21542.123,20884.797,19732.785,8507.999,11532,10063.718
"FM",3439.573,6772.748,5320.203,1050.213,2752.194,2652.431,6225.788,39.216,0,500.809,11.224,127.329,14532.97,7905.186,10173.962,18557.524
"FJ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ID",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JP",54063.479,64705.632,73913.3,66648.894,68430.499,34856.606,62420,208.07,68.718,35,302.002,314,3784.288,858.001,10,171.01
"KI",1519.844,430.289,1622.754,1276.87,286.384,404.937,6650.621,5065.814,11966.013,6039.95,5940.662,30884.945,33631.261,31482.728,25039.782,34127.139
"KR",31034.833,25797.684,34329.072,18278.628,46435.754,46729.806,73308.424,6569.787,247.775,443.4,386.523,10291.04,12730.829,17566.979,6907.696,9804.965
"MH",11052.473,12616.244,17895.428,6089.914,9290.677,9364.058,7299.743,2496.193,285.121,0,0,218.027,30688.595,12865.813,20980.92,10881.383
"NR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7175.757
"NC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NZ",7584.45,3213.351,1822.026,6774.02,7790.884,6035.319,7709.391,1911.181,994.353,1848.472,134.784,494.941,2396.699,2067.803,3737.973,3100.87
"NU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PG",15322.026,31108.186,31089.093,11069.804,26247.824,16600.474,22696.125,831.877,225.971,96.877,149.284,1620.667,42513.94,1926.166,143.085,63.123
"PH",3826.144,6628.547,2845.812,2279.46,140.617,445.27,0,0,0,0,12279,25391,24582.734,22540.129,24922.485,24202
"WS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SB",0,0,204.365,66.787,0,0,0,0,0,0,0,0,0,1429.352,1772.014,2276.935
"TW",34380.034,45898.613,28859.082,29846.218,41138.403,35682.031,38003.045,1273.845,634.54,57.165,1752.292,1516.634,4925.178,3730.377,2079.363,1038.625
"TK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TV",0,0,0,0,0,0,1827.007,134.818,31.818,0,0,0,2312.754,3984.598,2609.15,3104.589
"US",12949.427,13902.524,20342.543,14006.447,25989.803,41629.065,54990.636,10105.355,13474.365,35627.422,33987.913,40870.424,77020.329,56511.908,18205.309,52163.177
"VU",5223.024,17342.211,13906.665,15545.837,15685.67,9838.905,4129.499,1603.259,24.393,76.699,0,0,0,4393.997,5659.988,4721.808
"WF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
