"yy",2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"AS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CN",149.074,426.013,506.841,230.786,333.572,251.235,918.166,12.659,6.883,25.99,16.246,9.151,21.743,22.954,3.878,3
"CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EU",104.208,99.607,72.169,196.621,275.108,311.825,268.685,306.37,332.054,437.599,408.584,390.787,316.996,126.187,206.024,255.4
"FM",175.62,385.749,218.179,85.609,168.231,127.517,336.189,5.95,3.465,13.763,6.94,11.395,465.48,390.917,593.607,657.383
"FJ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ID",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JP",1755.084,1866.814,1836.943,1580.093,1346.298,1056.598,1562.451,6.305,3.034,1.095,12.849,8.151,102.324,25.007,0.336,5.213
"KI",40.404,35.869,50.134,51.918,22,33.711,161.881,97.319,245.942,182.616,184.02,861.049,710.458,883.628,677.908,814.252
"KR",1152.546,1244.387,1068.881,732.343,1389.444,1517.587,1699.817,226.833,63.796,25.117,31.905,197.912,219.132,214.808,196.048,243.805
"MH",442.017,397.441,399.679,153.539,177.008,283.609,173.115,68.261,33.529,1.991,5.194,8.976,834.911,394.993,639.334,313.825
"NR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.295
"NC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NZ",344.03,205.949,97.014,289.243,200.374,196.466,206.136,66.7,30.299,93.397,14.38,18.85,145.362,112.259,78.78,127.336
"NU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PG",632.835,1208.448,1300.361,464.783,849.467,713.221,833.139,83.187,23.007,40.995,16.923,44.083,1128.589,100.254,59.624,35.872
"PH",448.933,464.125,319.845,151.012,26.206,73.489,19.903,1.996,0,3.23,4096,2667.967,2442.2,2667.06,3193.642,2704.108
"WS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SB",0,0,16.718,15.165,5.332,0,0,0,0,1.178,0,0,0,26.207,71.001,116.91
"TW",1442.359,1843.902,1229.138,1240.542,1485.425,1328.758,1420.965,75.872,81.333,22.745,72.538,49.05,86.455,92.806,112.607,63.096
"TK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TV",0,0,0,0,0,0,40,4.444,5.288,1.077,0,0.995,85.16,146,105.043,58.794
"US",860.254,1009.232,776.196,528.062,792.357,1552.697,1733.243,398.191,572.712,1238.448,1048.792,1146.667,1657.861,1457.802,832.703,1595.971
"VU",186.152,579.167,377.553,401.029,378.625,166.315,64.052,37.001,30.873,6.964,7.959,2.965,0,163.196,204.742,124.332
"WF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
