ccm,year,effort
AS,2002,0
AU,2002,0
CN,2002,124.507
CA,2002,0
CK,2002,0
EU,2002,85.67
FM,2002,238.796
FJ,2002,0
PF,2002,0
GU,2002,0
ID,2002,0
JP,2002,1269.138
KI,2002,53.822
KR,2002,1284.887
MH,2002,208.788
NR,2002,0
NC,2002,0
NZ,2002,328.914
NU,2002,0
MP,2002,0
PW,2002,0
PG,2002,621.419
PH,2002,55.736
WS,2002,0
SB,2002,36.731
TW,2002,1859.921
TK,2002,0
TO,2002,0
TV,2002,0
US,2002,1314.711
VU,2002,165.961
WF,2002,0
AS,2003,0
AU,2003,0
CN,2003,149.074
CA,2003,0
CK,2003,0
EU,2003,104.39
FM,2003,175.62
FJ,2003,0
PF,2003,0
GU,2003,0
ID,2003,0
JP,2003,1755.084
KI,2003,40.404
KR,2003,1152.546
MH,2003,440.995
NR,2003,0
NC,2003,0
NZ,2003,342.37
NU,2003,0
MP,2003,0
PW,2003,0
PG,2003,632.835
PH,2003,448.933
WS,2003,0
SB,2003,0
TW,2003,1442.359
TK,2003,0
TO,2003,0
TV,2003,0
US,2003,858.26
VU,2003,186.151
WF,2003,0
AS,2004,0
AU,2004,0
CN,2004,424.215
CA,2004,0
CK,2004,0
EU,2004,99.326
FM,2004,383.558
FJ,2004,0
PF,2004,0
GU,2004,0
ID,2004,0
JP,2004,1866.814
KI,2004,35.869
KR,2004,1244.387
MH,2004,396.443
NR,2004,0
NC,2004,0
NZ,2004,205.949
NU,2004,0
MP,2004,0
PW,2004,0
PG,2004,1208.448
PH,2004,464.125
WS,2004,0
SB,2004,0
TW,2004,1843.902
TK,2004,0
TO,2004,0
TV,2004,0
US,2004,988.645
VU,2004,579.167
WF,2004,0
AS,2005,0
AU,2005,0
CN,2005,505.362
CA,2005,0
CK,2005,0
EU,2005,72
FM,2005,218.179
FJ,2005,0
PF,2005,0
GU,2005,0
ID,2005,0
JP,2005,1836.943
KI,2005,50.134
KR,2005,1068.881
MH,2005,399.679
NR,2005,0
NC,2005,0
NZ,2005,96.005
NU,2005,0
MP,2005,0
PW,2005,0
PG,2005,1300.361
PH,2005,319.845
WS,2005,0
SB,2005,16.718
TW,2005,1228.981
TK,2005,0
TO,2005,0
TV,2005,0
US,2005,767.13
VU,2005,377.553
WF,2005,0
AS,2006,0
AU,2006,0
CN,2006,230.786
CA,2006,0
CK,2006,0
EU,2006,197.05
FM,2006,85.609
FJ,2006,0
PF,2006,0
GU,2006,0
ID,2006,0
JP,2006,1580.093
KI,2006,51.918
KR,2006,732.343
MH,2006,153.539
NR,2006,0
NC,2006,0
NZ,2006,287.255
NU,2006,0
MP,2006,0
PW,2006,0
PG,2006,462.837
PH,2006,151.012
WS,2006,0
SB,2006,15.165
TW,2006,1239.479
TK,2006,0
TO,2006,0
TV,2006,0
US,2006,527.021
VU,2006,401.029
WF,2006,0
AS,2007,0
AU,2007,0
CN,2007,333.572
CA,2007,0
CK,2007,0
EU,2007,270.023
FM,2007,168.231
FJ,2007,0
PF,2007,0
GU,2007,0
ID,2007,0
JP,2007,1346.298
KI,2007,22
KR,2007,1389.444
MH,2007,177.008
NR,2007,0
NC,2007,0
NZ,2007,200.374
NU,2007,0
MP,2007,0
PW,2007,0
PG,2007,849.467
PH,2007,26.206
WS,2007,0
SB,2007,5.332
TW,2007,1483.257
TK,2007,0
TO,2007,0
TV,2007,0
US,2007,791.284
VU,2007,378.625
WF,2007,0
AS,2008,0
AU,2008,0
CN,2008,251.235
CA,2008,0
CK,2008,0
EU,2008,306.726
FM,2008,125.812
FJ,2008,0
PF,2008,0
GU,2008,0
ID,2008,0
JP,2008,1056.598
KI,2008,33.711
KR,2008,1517.587
MH,2008,282.62
NR,2008,0
NC,2008,0
NZ,2008,195.469
NU,2008,0
MP,2008,0
PW,2008,0
PG,2008,713.144
PH,2008,73.489
WS,2008,0
SB,2008,0
TW,2008,1328.758
TK,2008,0
TO,2008,0
TV,2008,0
US,2008,1546.385
VU,2008,166.315
WF,2008,0
AS,2009,0
AU,2009,0
CN,2009,918.166
CA,2009,0
CK,2009,0
EU,2009,262.259
FM,2009,336.189
FJ,2009,0
PF,2009,0
GU,2009,0
