CCM,Regnl,Hsall,EEZall,Biomass,EEZarea,Econom,Devlp,Adjc,Equal,LHsall,LBiomass,LEEZarea,LEconom,LDevlp,LAdjc,LEqual
AS,OTH,0,0,0.017504729,0.012738007,0.071428571,0.045454545,0,0.03125,0,0.003005302,0.007235333,0.071428571,0.045454545,0,0.03125
AU,FFA-OTH,0,0.028036268,0.03137069,0.074761407,0,0,0,0.03125,0,0.022191453,0.141551103,0,0,0.034161491,0.03125
CN,DWFN,0.003745858,0,0.005792928,0.002791839,0,0,0,0.03125,0.136260459,0.030241947,0.015857963,0,0,0,0.03125
CA,OTH,0,0,0,0,0,0,0,0.03125,0,0,0,0,0,0,0.03125
CK,FFA-OTH,0,0.024854848,0.067506044,0.05098639,0.071428571,0.045454545,0.016666667,0.03125,0,0.028229162,0.036201063,0.071428571,0.045454545,0.033126294,0.03125
EU,DWFN,0.058060798,0,0,0,0,0,0,0.03125,0,0,0,0,0,0,0.03125
FM,FFA-PNA,0,0.15314563,0.106362008,0.097056437,0.071428571,0.045454545,0.058333333,0.03125,0,0.105185593,0.055129162,0.071428571,0.045454545,0.013975155,0.03125
FJ,FFA-OTH,0,0.005965163,0.030856067,0.024834566,0.071428571,0.045454545,0,0.03125,0,0.008517238,0.023510528,0.071428571,0.045454545,0.003623188,0.03125
PF,OTH,0,0,0.118668805,0.076554309,0.071428571,0.045454545,0.091666667,0.03125,0,0.035299107,0.08696744,0.071428571,0.045454545,0.130434783,0.03125
GU,OTH,0,0,0.004007345,0.00703256,0,0.045454545,0.016666667,0.03125,0,0.005619077,0.003994574,0,0.045454545,0.000517598,0.03125
ID,IDPH,0,0,0.013051308,0.117079541,0,0.045454545,0,0.03125,0.097572695,0.034901196,0.066502514,0,0.045454545,0.002070393,0.03125
JP,DWFN,0.017432647,0,0.002317681,0,0,0,0.033333333,0.03125,0.302626129,0.118083232,0.0773369,0,0,0.156832298,0.03125
KI,FFA-PNA,0,0.207706991,0.146661031,0.111322253,0.071428571,0.045454545,0.133333333,0.03125,0,0.116296079,0.063232308,0.071428571,0.045454545,0.036231884,0.03125
KR,DWFN,0.029822792,0,0,0,0,0,0,0.03125,0.230999917,0.011610888,0.005963785,0,0,0,0.03125
MH,FFA-PNA,0,0.063330152,0.07308772,0.064321519,0.071428571,0.045454545,0.108333333,0.03125,0,0.061929551,0.036535356,0.071428571,0.045454545,0.030538302,0.03125
NR,FFA-PNA,0,0.068082399,0.012400511,0.009976822,0.071428571,0.045454545,0,0.03125,0,0.010977076,0.005666949,0.071428571,0.045454545,0.00310559,0.03125
NC,OTH,0,0.018690845,0.016886841,0.012452761,0,0.045454545,0,0.03125,0,0.009786347,0.023577701,0,0.045454545,0.002070393,0.03125
NZ,FFA-OTH,0.023051434,0,0,0,0,0,0,0.03125,0,0.011426816,0.075910405,0,0,0.142339545,0.03125
NU,FFA-OTH,0,0.003976776,0.008340873,0.005929515,0,0.045454545,0,0.03125,0,0.002355934,0.005613387,0,0.045454545,0.004658385,0.03125
MP,OTH,0,0,0.01499862,0.016860042,0,0.045454545,0.05,0.03125,0,0.020606012,0.013680994,0,0.045454545,0.00931677,0.03125
PW,FFA-PNA,0,0.015151515,0.008249713,0.019091142,0,0.045454545,0.008333333,0.03125,0,0.024985396,0.010843986,0,0.045454545,0.00310559,0.03125
PG,FFA-PNA,0,0.252087807,0.061684663,0.077652994,0,0.045454545,0.008333333,0.03125,0,0.029817628,0.044107785,0,0.045454545,0.005693582,0.03125
PH,IDPH,0.67122893,0,0.017337967,0.053170407,0,0,0.041666667,0.03125,0,0.054663011,0.033557108,0,0,0.007763975,0.03125
WS,FFA-OTH,0,0.002982582,0.005628029,0.004116022,0.071428571,0.045454545,0,0.03125,0,0.000966249,0.002337948,0.071428571,0.045454545,0,0.03125
SB,FFA-PNA,0,0.072556271,0.056925303,0.051888739,0.071428571,0.045454545,0.008333333,0.03125,0,0.025902373,0.029473395,0.071428571,0.045454545,0.005175983,0.03125
TW,DWFN,0.013686789,0,0.001088022,0.00220938,0,0,0,0.03125,0.173655869,0.008344969,0.006274766,0,0,0,0.03125
TK,FFA-OTH,0,0.019883878,0.013826261,0.011084911,0.071428571,0.045454545,0,0.03125,0,0.011050212,0.006296356,0.071428571,0.045454545,0,0.03125
TO,FFA-OTH,0,0.00497097,0.013435185,0.01050835,0.071428571,0.045454545,0,0.03125,0,0.004932333,0.011937725,0.071428571,0.045454545,0.00310559,0.03125
TV,FFA-PNA,0,0.043505925,0.032318637,0.024136933,0.071428571,0.045454545,0,0.03125,0,0.024390668,0.013710053,0.071428571,0.045454545,0.001552795,0.03125
US,DWFN,0.182970753,0.011095204,0.087533582,0.061443152,0,0,0.425,0.03125,0.058884931,0.17266997,0.080382456,0,0,0.370600414,0.03125
VU,FFA-OTH,0,0.003976776,0.020826193,0,0.071428571,0.045454545,0,0.03125,0,0.003997302,0.01196997,0.071428571,0.045454545,0,0.03125
WF,OTH,0,0,0.011333245,0,0,0.045454545,0,0.03125,0,0.00201788,0.004640989,0,0.045454545,0,0.03125
