FID,country,name,subcountry,id,Aire_CydEA,ORIG_FID,POINT_X,POINT_Y
0,GU, Guam,GU,14,217585.4022,0,148.0991211,12.29650879
1,GU, Guam,GU,14,217585.4022,0,148.0172729,12.09912109
2,GU, Guam,GU,14,217585.4022,0,147.8422852,11.78710938
3,GU, Guam,GU,14,217585.4022,0,147.7324829,11.60247803
4,GU, Guam,GU,14,217585.4022,0,143.1166992,10.91668701
5,GU, Guam,GU,14,217585.4022,0,141.2164917,13.07568359
6,GU, Guam,GU,14,217585.4022,0,141.215271,13.70770264
7,GU, Guam,GU,14,217585.4022,0,141.2965088,14.20629883
8,GU, Guam,GU,14,217585.4022,0,141.3505249,14.40332031
9,GU, Guam,GU,14,217585.4022,0,141.5396729,14.8795166
10,GU, Guam,GU,14,217585.4022,0,141.6555176,15.08789063
11,GU, Guam,GU,14,217585.4022,0,141.9025269,15.47088623
12,GU, Guam,GU,14,217585.4022,0,142.1303101,15.70568848
13,GU, Guam,GU,14,217585.4022,0,148.0991211,12.29650879
NA,NA,NA,NA,NA,NA,NA,NA,NA
14,KI,Gilbert Islands,GL,15,1054237.888,1,180,-3.777451258
15,KI,Gilbert Islands,GL,15,1054237.888,1,179.9827271,-3.827209473
16,KI,Gilbert Islands,GL,15,1054237.888,1,179.9564819,-3.897521973
17,KI,Gilbert Islands,GL,15,1054237.888,1,179.9281006,-3.964782715
18,KI,Gilbert Islands,GL,15,1054237.888,1,178.3753052,-4.198608398
19,KI,Gilbert Islands,GL,15,1054237.888,1,177.2896729,-4.359985352
20,KI,Gilbert Islands,GL,15,1054237.888,1,176.1525269,-4.080200195
21,KI,Gilbert Islands,GL,15,1054237.888,1,175.9318848,-4.085388184
22,KI,Gilbert Islands,GL,15,1054237.888,1,173.18927,-4.24609375
23,KI,Gilbert Islands,GL,15,1054237.888,1,173.0065308,-4.296875
24,KI,Gilbert Islands,GL,15,1054237.888,1,172.8676758,-4.188903809
25,KI,Gilbert Islands,GL,15,1054237.888,1,172.736084,-4.079406738
26,KI,Gilbert Islands,GL,15,1054237.888,1,172.6104736,-3.963623047
27,KI,Gilbert Islands,GL,15,1054237.888,1,172.4910889,-3.841125488
28,KI,Gilbert Islands,GL,15,1054237.888,1,172.3781128,-3.71270752
