V1,V2,eez,V3
180,-4.090180167,H4,180
179.9281006,-3.964782715,H4,179.9281006
179.9564819,-3.897521972,H4,179.9564819
179.9827271,-3.827209473,H4,179.9827271
180,-3.777451257,H4,180
180,-4.090180167,H4,180
180,-1.566988264,H4,180
179.9522705,-1.436584473,H4,179.9522705
179.8928833,-1.293884277,H4,179.8928833
179.8270874,-1.154174804,H4,179.8270874
179.8231201,-1.146606445,H4,179.8231201
179.8192749,-1.139099121,H4,179.8192749
179.8095093,-1.035583496,H4,179.8095093
179.7966919,-0.932189941,H4,179.7966919
179.7805176,-0.829406738,H4,179.7805176
179.7612915,-0.727111816,H4,179.7612915
179.7028809,-0.483581543,H4,179.7028809
179.6262817,-0.244689942,H4,179.6262817
179.5322876,-0.012512207,H4,179.5322876
179.526123,1.00E-10,H4,179.526123
180,1.00E-10,H4,180
180,-1.566988264,H4,180
-180,-3.777099609,H4,180
-179.977478,-3.711303711,H4,180.022522
-179.9418945,-3.594177246,H4,180.0581055
-179.9105835,-3.475708008,H4,180.0894165
-179.8782959,-3.330200195,H4,180.1217041
-179.8527832,-3.183288575,H4,180.1472168
-179.833313,-3.035583496,H4,180.166687
-179.8208008,-2.886901855,H4,180.1791992
-179.8146973,-2.737976074,H4,180.1853027
-179.8151855,-2.588806152,H4,180.1848145
-179.8220825,-2.440002441,H4,180.1779175
-179.8358765,-2.291687012,H4,180.1641235
-179.8560791,-2.143798828,H4,180.1439209
-179.8709106,-2.056884766,H4,180.1290894
-179.8883057,-1.970275879,H4,180.1116943
-179.9080811,-1.883911133,H4,180.0919189
-179.9274292,-1.80657959,H4,180.0725708
-179.9484863,-1.729675293,H4,180.0515137
-179.9946289,-1.582214356,H4,180.0053711
-180,-1.567321778,H4,180
-180,1.00E-10,H4,180
-179.9598999,1.00E-10,H4,180.0401001
-179.9067993,-0.163513184,H4,180.0932007
-179.8745117,-0.310729981,H4,180.1254883
-179.8427124,-0.38092041,H4,180.1572876
-179.8406982,-0.388305664,H4,180.1593018
-179.8303223,-0.487487793,H4,180.1696777
-179.7717896,-0.667602539,H4,180.2282104
-179.7307129,-0.852478027,H4,180.2692871
-179.6644897,-0.997924805,H4,180.3355103
-179.6151123,-1.149902344,H4,180.3848877
-179.5203857,-1.313781738,H4,180.4796143
-179.5023193,-1.35357666,H4,180.4976807
-179.4680786,-1.433288574,H4,180.5319214
-179.4619751,-1.441894532,H4,180.5380249
-179.4418945,-1.486083985,H4,180.5581055
-179.3468018,-1.614501953,H4,180.6531982
-179.2669067,-1.752990722,H4,180.7330933
-179.1533813,-1.87890625,H4,180.8466187
-179.0664063,-2.002197265,H4,180.9335937
-179.0455933,-2.021484375,H4,180.9544067
-179.0275269,-2.045898437,H4,180.9724731
-179.0164795,-2.057800293,H4,180.9835205
-178.9125977,-2.149780273,H4,181.0874023
-178.8673096,-2.203918457,H4,181.1326904
-178.8450928,-2.221374512,H4,181.1549072
-178.8009033,-2.270507812,H4,181.1990967
-178.7479858,-2.309020996,H4,181.2520142
-178.7366943,-2.317077637,H4,181.2633057
-178.6870117,-2.353210449,H4,181.3129883
-178.5551758,-2.475097656,H4,181.4448242
-178.5230103,-2.494384766,H4,181.4769897
-178.494812,-2.519226074,H4,181.505188
-178.3905029,-2.578308105,H4,181.6094971
-178.3195801,-2.633911133,H4,181.6804199
-178.2614746,-2.662475586,H4,181.7385254
-178.2374878,-2.679809571,H4,181.7625122
-178.2122803,-2.690979004,H4,181.7877197
-178.1807861,-2.713500977,H4,181.8192139
-178.0853882,-2.755004883,H4,181.9146118
-177.9569092,-2.831481933,H4,182.0430908
-177.9439087,-2.837402344,H4,182.0560913
-177.9143066,-2.84741211,H4,182.0856934
-177.8886108,-2.861999512,H4,182.1113892
-177.7930908,-2.892089843,H4,182.2069092
-177.694397,-2.940612793,H4,182.305603
-177.6085815,-2.962219238,H4,182.3914185
-177.5421143,-2.991088867,H4,182.4578857
-177.4187012,-3.018798828,H4,182.5812988
-177.5211182,-3.187194824,H4,182.4788818
-177.6166992,-3.333312988,H4,182.3833008
-177.666687,-3.483276367,H4,182.333313
-177.7332764,-3.650024414,H4,182.2667236
-177.7667236,-3.816589355,H4,182.2332764
-177.8167114,-3.983276367,H4,182.1832886
-177.833313,-4.133300781,H4,182.166687
-177.8666992,-4.299987793,H4,182.1333008
-177.8666992,-4.483276367,H4,182.1333008
-177.8833008,-4.650024414,H4,182.1166992
-177.8666992,-4.816589355,H4,182.1333008
-177.8666992,-4.983276367,H4,182.1333008
-177.833313,-5.150024414,H4,182.166687
-177.8167114,-5.316589356,H4,182.1832886
-177.7999878,-5.366577148,H4,182.2000122
-177.7833252,-5.416687011,H4,182.2166748
-177.75,-5.583312988,H4,182.25
-177.7000122,-5.75,H4,182.2999878
-177.6500244,-5.900024414,H4,182.3499756
-177.583313,-6.049987793,H4,182.416687
-177.5,-6.200012207,H4,182.5
-177.4332886,-6.333312988,H4,182.5667114
-177.3499756,-6.483276367,H4,182.6500244
-177.2999878,-6.549987793,H4,182.7000122
-177.25,-6.633300781,H4,182.75
-177.1500244,-6.75,H4,182.8499756
-177.0499878,-6.866577148,H4,182.9500122
-176.8167114,-7.116577149,H4,183.1832886
-176.6871948,-7.239074707,H4,183.3128052
-176.5336914,-7.36730957,H4,183.4663086
-176.416687,-7.450012207,H4,183.583313
-176.2667236,-7.533325195,H4,183.7332764
-176.1333008,-7.616577148,H4,183.8666992
-176,-7.683288575,H4,184
-175.8499756,-7.75,H4,184.1500244
-175.8167114,-7.766601563,H4,184.1832886
-175.7833252,-7.783325196,H4,184.2166748
-175.9165039,-9.016113282,H4,184.0834961
-175.7664795,-10.01611328,H4,184.2335205
-176.078186,-9.948303223,H4,183.921814
-176.3795776,-9.934082031,H4,183.6204224
-176.6810913,-9.95300293,H4,183.3189087
-177,-10,H4,183
-176.9194946,-9.546203613,H4,183.0805054
-176.7994995,-9.071716309,H4,183.2005005
-176.8295288,-8.478515625,H4,183.1704712
-177.0396118,-7.944580079,H4,182.9603882
-177.3397827,-7.410705566,H4,182.6602173
-177.8500977,-6.936218261,H4,182.1499023
-177.9700928,-6.402282715,H4,182.0299072
-178.2000122,-6,H4,181.7999878
-178.3602905,-5.631225586,H4,181.6397095
-178.6904907,-5.27532959,H4,181.3095093
-179,-4.950012207,H4,181
-179.4108887,-4.622802735,H4,180.5891113
-179.8311768,-4.385498047,H4,180.1688232
-180,-4.090393067,H4,180
-180,-3.777099609,H4,180
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
