V1,V2,eez,V3,
180,-26.42677402,I7,180,
179.8999023,-26.4901123,I7,179.8999023,
179.6629028,-26.62158203,I7,179.6629028,
179.5778809,-26.69439697,I7,179.5778809,
179.4813232,-26.75549316,I7,179.4813232,
179.2935181,-26.9375,I7,179.2935181,
179.0928955,-27.10900879,I7,179.0928955,
179.0270996,-27.19567871,I7,179.0270996,
178.9473267,-27.27301025,I7,178.9473267,
178.8068848,-27.48510742,I7,178.8068848,
178.6514893,-27.68920898,I7,178.6514893,
178.6077271,-27.78601074,I7,178.6077271,
178.5480957,-27.87609863,I7,178.5480957,
178.4614868,-28.10900879,I7,178.4614868,
178.3582764,-28.33691406,I7,178.3582764,
178.3566895,-28.34460449,I7,178.3566895,
178.2960815,-28.41387939,I7,178.2960815,
178.2595215,-28.48150635,I7,178.2595215,
178.2271118,-28.52081299,I7,178.2271118,
178.1860962,-28.60290527,I7,178.1860962,
178.0723267,-28.77081299,I7,178.0723267,
178.0687256,-28.78039551,I7,178.0687256,
178.0629272,-28.78912354,I7,178.0629272,
178.0291138,-28.87890625,I7,178.0291138,
177.9403076,-28.99969482,I7,177.9403076,
177.9127197,-29.06390381,I7,177.9127197,
177.8731079,-29.12310791,I7,177.8731079,
177.8255005,-29.24920654,I7,177.8255005,
177.7901001,-29.30987549,I7,177.7901001,
177.7484741,-29.44549561,I7,177.7484741,
177.6594849,-29.65270996,I7,177.6594849,
177.6478882,-29.72039795,I7,177.6478882,
177.623291,-29.78540039,I7,177.623291,
177.6096802,-29.89648438,I7,177.6096802,
177.4699097,-30.11419678,I7,177.4699097,
177.453125,-30.16168213,I7,177.453125,
177.4268799,-30.20581055,I7,177.4268799,
177.3927002,-30.31408691,I7,177.3927002,
177.3704834,-30.35662842,I7,177.3704834,
177.3372803,-30.4901123,I7,177.3372803,
177.3358765,-30.49468994,I7,177.3358765,
177.2349243,-30.78112793,I7,177.2349243,
177.2301025,-30.83050537,I7,177.2301025,
177.2150879,-30.8782959,I7,177.2150879,
177.2064819,-31.01519775,I7,177.2064819,
177.2009277,-31.03778076,I7,177.2009277,
177.2009277,-31.10528564,I7,177.2009277,
177.1962891,-31.17700195,I7,177.1962891,
177.1674805,-31.47509766,I7,177.1674805,
177.1746826,-31.52429199,I7,177.1746826,
177.1716919,-31.5736084,I7,177.1716919,
177.2009277,-31.73291016,I7,177.2009277,
177.2025146,-31.74090576,I7,177.2025146,
177.2163086,-31.81561279,I7,177.2163086,
177.2164917,-31.82220459,I7,177.2164917,
177.2197266,-31.83428955,I7,177.2197266,
177.2263184,-31.86920166,I7,177.2263184,
177.2705078,-32.16589355,I7,177.2705078,
177.2896729,-32.21270752,I7,177.2896729,
177.2987061,-32.26159668,I7,177.2987061,
177.3948975,-32.47589111,I7,177.3948975,
177.4014893,-32.50048828,I7,177.4014893,
177.4246826,-32.54272461,I7,177.4246826,
177.5396729,-32.82330322,I7,177.5396729,
177.5697021,-32.86572266,I7,177.5697021,
177.5905151,-32.9119873,I7,177.5905151,
177.723877,-33.08758545,I7,177.723877,
177.7476807,-33.13098145,I7,177.7476807,
177.7907104,-33.17962647,I7,177.7907104,
177.7243042,-33.12219238,I7,177.7243042,
177.4707031,-32.89251709,I7,177.4707031,
177.4498901,-32.88018799,I7,177.4498901,
177.4343262,-32.86639404,I7,177.4343262,
177.4151001,-32.85510254,I7,177.4151001,
177.3980713,-32.84051514,I7,177.3980713,
177.3881226,-32.83349609,I7,177.3881226,
177.3433228,-32.80828857,I7,177.3433228,
177.2827148,-32.75030518,I7,177.2827148,
177.1818848,-32.68701172,I7,177.1818848,
177.0941162,-32.61291504,I7,177.0941162,
177.0336914,-32.57952881,I7,177.0336914,
177.020874,-32.56921387,I7,177.020874,
176.9041138,-32.50799561,I7,176.9041138,
176.8370972,-32.47088623,I7,176.8370972,
176.5914917,-32.31689453,I7,176.5914917,
176.4763184,-32.27172852,I7,176.4763184,
176.3707275,-32.21350098,I7,176.3707275,
176.2929077,-32.18737793,I7,176.2929077,
176.2855225,-32.18359375,I7,176.2855225,
176.2235107,-32.16418457,I7,176.2235107,
176.2067261,-32.1585083,I7,176.2067261,
176.1333008,-32.10150146,I7,176.1333008,
175.9998779,-31.97241211,I7,175.9998779,
175.9102783,-31.91558838,I7,175.9102783,
175.8724976,-31.88250732,I7,175.8724976,
175.7908936,-31.83569336,I7,175.7908936,
175.65448,-31.72979736,I7,175.65448,
175.4765015,-31.64019775,I7,175.4765015,
175.3120728,-31.53588867,I7,175.3120728,
175.1655273,-31.47747803,I7,175.1655273,
175.1580811,-31.47320557,I7,175.1580811,
175.1309204,-31.46362305,I7,175.1309204,
175.1052856,-31.45330811,I7,175.1052856,
174.9100952,-31.35510254,I7,174.9100952,
174.885498,-31.34790039,I7,174.885498,
174.8804932,-31.34539795,I7,174.8804932,
174.7062988,-31.29431152,I7,174.7062988,
174.5239258,-31.22149658,I7,174.5239258,
174.5039062,-31.21557617,I7,174.5039062,
174.2791138,-31.1685791,I7,174.2791138,
174.1248779,-31.12298584,I7,174.1248779,
174.0831299,-31.11071777,I7,174.0831299,
174.0786743,-31.11010742,I7,174.0786743,
174.0526733,-31.1026001,I7,174.0526733,
173.8502808,-31.07897949,I7,173.8502808,
173.7415161,-31.04370117,I7,173.7415161,
173.5032959,-30.94830322,I7,173.5032959,
173.4331055,-30.934021,I7,173.4331055,
173.4030762,-30.9229126,I7,173.4030762,
173.3270874,-30.90948486,I7,173.3270874,
173.2047119,-30.86981201,I7,173.2047119,
172.9437256,-30.83428955,I7,172.9437256,
172.6867065,-30.78192139,I7,172.6867065,
172.5869141,-30.77929687,I7,172.5869141,
172.5805054,-30.77807617,I7,172.5805054,
172.5441284,-30.77807617,I7,172.5441284,
172.5299072,-30.77770996,I7,172.5299072,
172.3751221,-30.7565918,I7,172.3751221,
172.1107178,-30.76672363,I7,172.1107178,
171.8461304,-30.75970459,I7,171.8461304,
171.6917114,-30.78271484,I7,171.6917114,
171.5349121,-30.78869629,I7,171.5349121,
171.4669189,-30.80340576,I7,171.4669189,
171.4130859,-30.81311035,I7,171.4130859,
171.2869263,-30.82012939,I7,171.2869263,
171.2050781,-30.84197998,I7,171.2050781,
171.2677002,-30.76708984,I7,171.2677002,
171.3994751,-30.52600098,I7,171.3994751,
171.5892944,-30.12908936,I7,171.5892944,
171.7053223,-29.76989746,I7,171.7053223,
171.7501221,-29.5,I7,171.7501221,
171.7739258,-29.31622314,I7,171.7739258,
171.800293,-28.96179199,I7,171.800293,
171.7686768,-28.68768311,I7,171.7686768,
171.7265015,-28.42779541,I7,171.7265015,
171.6895142,-28.2434082,I7,171.6895142,
171.6425171,-28.10168457,I7,171.6425171,
171.4996948,-27.71881104,I7,171.4996948,
171.3521118,-27.44012451,I7,171.3521118,
171.1483154,-27.17547607,I7,171.1483154,
170.9694824,-26.9296875,I7,170.9694824,
170.4384766,-26.45239258,I7,170.4384766,
170.0651245,-26.2019043,I7,170.0651245,
169.7496948,-26.04119873,I7,169.7496948,
169.3344727,-25.87579346,I7,169.3344727,
169.0587158,-25.79150391,I7,169.0587158,
169.3123169,-25.66247559,I7,169.3123169,
169.5878906,-25.50848389,I7,169.5878906,
169.8250732,-25.34460449,I7,169.8250732,
169.8529053,-25.3538208,I7,169.8529053,
170.0568848,-25.43841553,I7,170.0568848,
170.27771,-25.5178833,I7,170.27771,
170.5755005,-25.57098389,I7,170.5755005,
170.8731079,-25.6151123,I7,170.8731079,
171.1707153,-25.6328125,I7,171.1707153,
171.4586792,-25.66821289,I7,171.4586792,
171.727478,-25.69470215,I7,171.727478,
172.0443115,-25.73010254,I7,172.0443115,
172.3035278,-25.70361328,I7,172.3035278,
172.6588745,-25.66821289,I7,172.6588745,
173.0620728,-25.58868408,I7,173.0620728,
173.4172974,-25.47369385,I7,173.4172974,
173.7821045,-25.32348633,I7,173.7821045,
174.0509033,-25.15551758,I7,174.0509033,
174.2597046,-25.02020264,I7,174.2597046,
174.2758789,-25.02270508,I7,174.2758789,
174.2952881,-25.02459717,I7,174.2952881,
174.3231201,-25.02770996,I7,174.3231201,
174.3496704,-25.03118896,I7,174.3496704,
174.380127,-25.03442383,I7,174.380127,
174.4052734,-25.03790283,I7,174.4052734,
174.4295044,-25.0402832,I7,174.4295044,
174.4514771,-25.04260254,I7,174.4514771,
174.4708862,-25.04510498,I7,174.4708862,
174.5001221,-25.04821777,I7,174.5001221,
174.5206909,-25.04852295,I7,174.5206909,
174.5372925,-25.04718018,I7,174.5372925,
174.5429077,-25.04638672,I7,174.5429077,
174.5568848,-25.04821777,I7,174.5568848,
174.5706787,-25.04949951,I7,174.5706787,
174.5820923,-25.05010986,I7,174.5820923,
174.590271,-25.04992676,I7,174.590271,
174.6539307,-25.0480957,I7,174.6539307,
174.8242798,-25.03118896,I7,174.8242798,
175.0352783,-25.00811768,I7,175.0352783,
175.194519,-24.99267578,I7,175.194519,
175.2918701,-24.97888184,I7,175.2918701,
175.371521,-24.96807861,I7,175.371521,
175.4835205,-24.93878174,I7,175.4835205,
175.5971069,-24.90032959,I7,175.5971069,
175.8892822,-24.81262207,I7,175.8892822,
175.947876,-24.7946167,I7,175.947876,
176.0548706,-24.76177979,I7,176.0548706,
176.1166992,-24.7355957,I7,176.1166992,
176.2091064,-24.68328857,I7,176.2091064,
176.4105225,-24.5723877,I7,176.4105225,
176.5761108,-24.48468018,I7,176.5761108,
176.7141113,-24.40917969,I7,176.7141113,
176.744873,-24.38458252,I7,176.744873,
176.8666992,-24.28289795,I7,176.8666992,
177.0046997,-24.16290283,I7,177.0046997,
177.0516968,-24.12438965,I7,177.0516968,
177.0631104,-24.11358643,I7,177.0631104,
177.0662842,-24.11199951,I7,177.0662842,
177.2496948,-23.95959473,I7,177.2496948,
177.3001099,-23.91040039,I7,177.3001099,
177.3828735,-23.80108643,I7,177.3828735,
177.47052,-23.6809082,I7,177.47052,
177.5322876,-23.60400391,I7,177.5322876,
177.645874,-23.46697998,I7,177.645874,
177.6621094,-23.45001221,I7,177.6621094,
177.7578735,-23.2868042,I7,177.7578735,
177.8098755,-23.16821289,I7,177.8098755,
177.8162842,-23.15130615,I7,177.8162842,
177.8214722,-23.15240478,I7,177.8214722,
177.9317017,-22.91571045,I7,177.9317017,
177.9885254,-22.81268311,I7,177.9885254,
178.0338745,-22.70489502,I7,178.0338745,
178.0437012,-22.68328857,I7,178.0437012,
178.0697021,-22.72027588,I7,178.0697021,
178.0745239,-22.72949219,I7,178.0745239,
178.0745239,-22.73278809,I7,178.0745239,
178.0770874,-22.73669434,I7,178.0770874,
178.0819092,-22.74468994,I7,178.0819092,
178.0869141,-22.75280762,I7,178.0869141,
178.0922852,-22.76080322,I7,178.0922852,
178.09729,-22.76879883,I7,178.09729,
178.102478,-22.77697754,I7,178.102478,
178.1079102,-22.78491211,I7,178.1079102,
178.112915,-22.79302978,I7,178.112915,
178.118103,-22.80078125,I7,178.118103,
178.123291,-22.80889893,I7,178.123291,
178.1287231,-22.81689453,I7,178.1287231,
178.1339111,-22.82470703,I7,178.1339111,
178.1395264,-22.83270264,I7,178.1395264,
178.1447144,-22.84057617,I7,178.1447144,
178.1503296,-22.84851074,I7,178.1503296,
178.1555176,-22.85638428,I7,178.1555176,
178.1610718,-22.86419678,I7,178.1610718,
178.1665039,-22.87219238,I7,178.1665039,
178.1721191,-22.88000488,I7,178.1721191,
178.1774902,-22.88769531,I7,178.1774902,
178.1831055,-22.89550781,I7,178.1831055,
178.1887207,-22.90332031,I7,178.1887207,
178.1942749,-22.91101074,I7,178.1942749,
178.199707,-22.91888428,I7,178.199707,
178.2056885,-22.92669678,I7,178.2056885,
178.2111206,-22.93438721,I7,178.2111206,
178.2166748,-22.94219971,I7,178.2166748,
178.2224731,-22.94970703,I7,178.2224731,
178.2282715,-22.95751953,I7,178.2282715,
178.2338867,-22.96520996,I7,178.2338867,
178.2396851,-22.97277832,I7,178.2396851,
178.2457275,-22.98052979,I7,178.2457275,
178.2515259,-22.98797607,I7,178.2515259,
178.2573242,-22.99578857,I7,178.2573242,
178.2631226,-23.0032959,I7,178.2631226,
178.2689209,-23.01080322,I7,178.2689209,
178.2750854,-23.01861572,I7,178.2750854,
178.2808838,-23.02612305,I7,178.2808838,
178.2869263,-23.0335083,I7,178.2869263,
178.2929077,-23.04107666,I7,178.2929077,
178.2988892,-23.04858398,I7,178.2988892,
178.3051147,-23.05609131,I7,178.3051147,
178.3110962,-23.06359863,I7,178.3110962,
178.3168945,-23.07110596,I7,178.3168945,
178.3231201,-23.07830811,I7,178.3231201,
178.3292847,-23.08581543,I7,178.3292847,
178.3356934,-23.09332275,I7,178.3356934,
178.3416748,-23.10058594,I7,178.3416748,
178.3479004,-23.10791016,I7,178.3479004,
178.3543091,-23.11547852,I7,178.3543091,
178.3602905,-23.12280273,I7,178.3602905,
178.3666992,-23.13000488,I7,178.3666992,
178.3729248,-23.13751221,I7,178.3729248,
178.3792725,-23.14471436,I7,178.3792725,
178.3856812,-23.15197754,I7,178.3856812,
178.3919067,-23.15917969,I7,178.3919067,
178.3983154,-23.16638184,I7,178.3983154,
178.4047241,-23.17358398,I7,178.4047241,
178.4110718,-23.18078613,I7,178.4110718,
178.4174805,-23.18798828,I7,178.4174805,
178.4238892,-23.19519043,I7,178.4238892,
178.4307251,-23.20251465,I7,178.4307251,
178.4370728,-23.2097168,I7,178.4370728,
178.4437256,-23.2166748,I7,178.4437256,
178.4500732,-23.22387695,I7,178.4500732,
178.4567261,-23.23071289,I7,178.4567261,
178.4633179,-23.23797607,I7,178.4633179,
178.4700928,-23.24499512,I7,178.4700928,
178.4766846,-23.25219727,I7,178.4766846,
178.4832764,-23.25909424,I7,178.4832764,
178.4901123,-23.26611328,I7,178.4901123,
178.4967041,-23.27301025,I7,178.4967041,
178.5032959,-23.2800293,I7,178.5032959,
178.5103149,-23.28692627,I7,178.5103149,
178.5169067,-23.29388428,I7,178.5169067,
178.5239258,-23.30078125,I7,178.5239258,
178.5305176,-23.30780029,I7,178.5305176,
178.5374756,-23.31469727,I7,178.5374756,
178.5444946,-23.32141113,I7,178.5444946,
178.5510864,-23.32830811,I7,178.5510864,
178.5581055,-23.33520508,I7,178.5581055,
178.5651245,-23.34191895,I7,178.5651245,
178.5718994,-23.34887695,I7,178.5718994,
178.5789185,-23.35552979,I7,178.5789185,
178.5858765,-23.36218262,I7,178.5858765,
178.5930786,-23.36907959,I7,178.5930786,
178.6000977,-23.37579346,I7,178.6000977,
178.6068726,-23.38250732,I7,178.6068726,
178.6143188,-23.38909912,I7,178.6143188,
178.6210937,-23.39581299,I7,178.6210937,
178.6282959,-23.40252686,I7,178.6282959,
178.6356812,-23.40917969,I7,178.6356812,
178.6428833,-23.41558838,I7,178.6428833,
178.6497192,-23.42218018,I7,178.6497192,
178.6571045,-23.42889404,I7,178.6571045,
178.6643066,-23.43530273,I7,178.6643066,
178.6715088,-23.44189453,I7,178.6715088,
178.678894,-23.44830322,I7,178.678894,
178.6860962,-23.45501709,I7,178.6860962,
178.6932983,-23.46130371,I7,178.6932983,
178.7009277,-23.4677124,I7,178.7009277,
178.7081299,-23.47418213,I7,178.7081299,
178.7156982,-23.48052979,I7,178.7156982,
178.7229004,-23.48687744,I7,178.7229004,
178.7302856,-23.49328613,I7,178.7302856,
178.7374878,-23.49969482,I7,178.7374878,
178.7451172,-23.50610352,I7,178.7451172,
178.7525024,-23.51251221,I7,178.7525024,
178.7600708,-23.51879883,I7,178.7600708,
178.7675171,-23.52502441,I7,178.7675171,
178.7750854,-23.53131104,I7,178.7750854,
178.7824707,-23.53747559,I7,178.7824707,
178.7902832,-23.5435791,I7,178.7902832,
178.7979126,-23.54998779,I7,178.7979126,
178.8052979,-23.55609131,I7,178.8052979,
178.8131104,-23.56219482,I7,178.8131104,
178.8206787,-23.56829834,I7,178.8206787,
178.8283081,-23.57440186,I7,178.8283081,
178.8358765,-23.58050537,I7,178.8358765,
178.843689,-23.58660889,I7,178.843689,
178.8515015,-23.5927124,I7,178.8515015,
178.859314,-23.59887695,I7,178.859314,
178.8668823,-23.60467529,I7,178.8668823,
178.8746948,-23.61077881,I7,178.8746948,
178.8825073,-23.61688232,I7,178.8825073,
178.8903198,-23.62280273,I7,178.8903198,
178.8980713,-23.62860107,I7,178.8980713,
178.9058838,-23.63470459,I7,178.9058838,
178.9138794,-23.64050293,I7,178.9138794,
178.9216919,-23.64630127,I7,178.9216919,
178.9296875,-23.65222168,I7,178.9296875,
178.9375,-23.65808105,I7,178.9375,
178.9456787,-23.66387939,I7,178.9456787,
178.9533081,-23.66967773,I7,178.9533081,
178.9614868,-23.67547607,I7,178.9614868,
178.9694824,-23.68109131,I7,178.9694824,
178.977478,-23.68688965,I7,178.977478,
178.9854736,-23.69250488,I7,178.9854736,
178.9937134,-23.69830322,I7,178.9937134,
179.001709,-23.70391846,I7,179.001709,
179.0097046,-23.7097168,I7,179.0097046,
179.0178833,-23.71520996,I7,179.0178833,
179.0258789,-23.7208252,I7,179.0258789,
179.0343018,-23.72637939,I7,179.0343018,
179.0422974,-23.73181152,I7,179.0422974,
179.050293,-23.73748779,I7,179.050293,
179.0587158,-23.74298096,I7,179.0587158,
179.0667114,-23.74859619,I7,179.0667114,
179.0750732,-23.75390625,I7,179.0750732,
179.083313,-23.75939941,I7,179.083313,
179.0914917,-23.76501465,I7,179.0914917,
179.0996704,-23.77020264,I7,179.0996704,
179.1080933,-23.7755127,I7,179.1080933,
179.1165161,-23.78112793,I7,179.1165161,
179.1246948,-23.78637695,I7,179.1246948,
179.1331177,-23.79168701,I7,179.1331177,
179.1414795,-23.796875,I7,179.1414795,
