V1,V2,eez,V3
-155.0526,-12.4881,I9,204.9474
-155.4404907,-12.5881958,I9,204.5595093
-155.8397827,-12.70452881,I9,204.1602173
-156.3395996,-12.96020508,I9,203.6604004
-156.7479858,-13.26971436,I9,203.2520142
-157.0805054,-13.57830811,I9,202.9194946
-157.4276123,-13.99560547,I9,202.5723877
-157.6433105,-14.37689209,I9,202.3566895
-157.798584,-14.73748779,I9,202.201416
-157.9130859,-15.11700439,I9,202.0869141
-157.9619751,-15.46600342,I9,202.0380249
-158.0396118,-15.65368652,I9,201.9603882
-158.1276855,-15.86920166,I9,201.8723145
-158.2310181,-15.80358887,I9,201.7689819
-158.3695068,-15.74542236,I9,201.6304932
-158.4968262,-15.69390869,I9,201.5031738
-158.661377,-15.6348877,I9,201.338623
-158.8215942,-15.58331299,I9,201.1784058
-159.0269165,-15.53918457,I9,200.9730835
-159.1906128,-15.503479,I9,200.8093872
-159.3726196,-15.47271729,I9,200.6273804
-159.548584,-15.45361328,I9,200.451416
-159.7366943,-15.4487915,I9,200.2633057
-159.9030762,-15.44989014,I9,200.0969238
-160.0834961,-15.46350098,I9,199.9165039
-160.2266235,-15.48059082,I9,199.7733765
-160.3654175,-15.49517822,I9,199.6345825
-160.4512939,-15.51409912,I9,199.5487061
-160.4060059,-15.44818115,I9,199.5939941
-160.3162842,-15.33880615,I9,199.6837158
-160.2178955,-15.21362305,I9,199.7821045
-160.1569214,-15.11077881,I9,199.8430786
-160.0750122,-14.97857666,I9,199.9249878
-160.0114136,-14.89080811,I9,199.9885864
-159.9268188,-14.75012207,I9,200.0731812
-159.8778076,-14.62182617,I9,200.1221924
-159.7965088,-14.40777588,I9,200.2034912
-159.7597046,-14.27587891,I9,200.2402954
-159.7114868,-14.11358643,I9,200.2885132
-159.682312,-13.98577881,I9,200.317688
-159.6550903,-13.86358643,I9,200.3449097
-159.6217041,-13.72637939,I9,200.3782959
-159.6196899,-13.63439941,I9,200.3803101
-159.6160278,-13.56188965,I9,200.3839722
-159.6140747,-13.50958252,I9,200.3859253
-159.5618896,-13.47680664,I9,200.4381104
-159.4645996,-13.41717529,I9,200.5354004
-159.3231201,-13.3493042,I9,200.6768799
-159.2128296,-13.28710938,I9,200.7871704
-159.104187,-13.20898438,I9,200.895813
-158.9833984,-13.14349365,I9,201.0166016
-158.8822021,-13.04992676,I9,201.1177979
-158.7443848,-12.94641113,I9,201.2556152
-158.6495972,-12.87231445,I9,201.3504028
-158.5609131,-12.79559326,I9,201.4390869
-158.4956055,-12.72387695,I9,201.5043945
-158.4243164,-12.6394043,I9,201.5756836
-158.3338013,-12.54827881,I9,201.6661987
-158.2852783,-12.45562744,I9,201.7147217
-158.0715942,-12.43811035,I9,201.9284058
-157.8908081,-12.42370605,I9,202.1091919
-157.7473755,-12.43670654,I9,202.2526245
-157.6311035,-12.42871094,I9,202.3688965
-157.4810791,-12.39678955,I9,202.5189209
-157.2294922,-12.35638428,I9,202.7705078
-157.0394897,-12.30609131,I9,202.9605103
-156.8684082,-12.24310303,I9,203.1315918
-156.6652832,-12.17431641,I9,203.3347168
-156.4951782,-12.10699463,I9,203.5048218
-156.3649292,-12.0177002,I9,203.6350708
-156.2510986,-11.9677124,I9,203.7489014
-156.1138916,-11.89428711,I9,203.8861084
-156.012085,-11.84411621,I9,203.987915
-155.895813,-11.76171875,I9,204.104187
-155.7741089,-11.66351318,I9,204.2258911
-155.6889038,-11.57202148,I9,204.3110962
-155.5932007,-11.47869873,I9,204.4067993
-155.4863281,-11.36608887,I9,204.5136719
-155.3756104,-11.66522217,I9,204.6243896
-155.1447754,-12.03118896,I9,204.8552246
-155.0870972,-12.2868042,I9,204.9129028
-155.0526,-12.4881,I9,204.9474
