name,POINT_X,POINT_Y
Minami-tori Shima,154.6043091,20.99908447
Minami-tori Shima,153.9830933,20.94989014
Minami-tori Shima,153.3624878,20.99908447
Minami-tori Shima,152.7598877,21.14630127
Minami-tori Shima,152.7490845,21.14910889
Minami-tori Shima,152.1818848,21.38891602
Minami-tori Shima,151.6658936,21.71508789
Minami-tori Shima,151.2158813,22.11828613
Minami-tori Shima,150.84552,22.58691406
Minami-tori Shima,150.5662842,23.1072998
Minami-tori Shima,150.3876953,23.66387939
Minami-tori Shima,150.315918,24.24127197
Minami-tori Shima,150.3546753,24.82128906
Minami-tori Shima,150.5045166,25.38568115
Minami-tori Shima,150.7626953,25.91827393
Minami-tori Shima,151.1220703,26.40167236
Minami-tori Shima,151.1317139,26.41070557
Minami-tori Shima,151.133728,26.41308594
Minami-tori Shima,151.5839233,26.83190918
Minami-tori Shima,152.1115112,27.17248535
Minami-tori Shima,152.7000732,27.42388916
Minami-tori Shima,153.3308716,27.57830811
Minami-tori Shima,153.9837036,27.63031006
Minami-tori Shima,154.6364746,27.57830811
Minami-tori Shima,155.2672729,27.42388916
Minami-tori Shima,155.855896,27.17230225
Minami-tori Shima,156.3833008,26.83172607
Minami-tori Shima,156.8339233,26.41247559
Minami-tori Shima,157.1931152,25.92907715
Minami-tori Shima,157.4509277,25.39727783
Minami-tori Shima,157.600708,24.83288574
Minami-tori Shima,157.6013184,24.82550049
Minami-tori Shima,157.6022949,24.82128906
Minami-tori Shima,157.6411133,24.24072266
Minami-tori Shima,157.569519,23.66271973
Minami-tori Shima,157.390686,23.1060791
Minami-tori Shima,157.1116943,22.58569336
Minami-tori Shima,156.7404785,22.11651611
Minami-tori Shima,156.2893066,21.71191406
Minami-tori Shima,155.7730713,21.38568115
Minami-tori Shima,155.2061157,21.14569092
Minami-tori Shima,154.6043091,20.99908447
NA,NA,NA
