"yy",2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"AS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CN",0,34.153,4.433,11.539,4.035,6.554,1.306,11.393,0,1.238,0,0,21.743,22.954,3.878,3
"CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EU",104.208,99.607,72.169,196.621,254.894,286.61,267.688,302.341,331.075,437.599,408.584,390.787,316.996,126.187,206.024,255.4
"FM",19.957,41.998,29.484,3.982,2.065,3.977,14.092,1.983,1.155,7.411,0,5.18,458.058,377.919,566.88,618.86
"FJ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ID",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JP",91.951,144.606,47.727,8.393,7.028,2.972,0.137,0,0.697,0,0,4.283,102.324,8.059,0.336,0
"KI",0,3.075,2.228,3.918,1,7.056,84.29,95.107,239.148,172.655,179.391,848.386,707.346,876.019,666.135,806.413
"KR",15.335,9.867,337.062,342.301,73.547,81.678,647.362,155.09,2.991,13.605,3.087,179.725,203.48,195.912,167.188,195.439
"MH",287.872,257.638,264.787,82.751,35.194,39.527,124.684,54.411,1.197,0,1.039,3.99,833.898,389.127,628.989,301.349
"NR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.295
"NC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NZ",99.024,71.452,50.528,87.469,33.759,12.965,100.986,55.91,29.217,91.388,2.054,13.614,83.201,112.259,78.78,127.336
"NU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PG",31.09,90.936,55.227,84.961,25.014,6.002,79.205,15.528,1,1.079,0,23.419,1109.651,70.949,5.733,2.658
"PH",0,0,0,0,0,0,0,0,0,0,0,0.989,1.2,0,0,0
"WS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SB",0,0,0,0,0,0,0,0,0,0,0,0,0,13.793,63.583,106.282
"TW",59.262,78.227,92.669,124.374,46.59,23.48,191.026,32.878,13.157,7.108,42.224,34.88,81.369,89.568,107.535,60.092
"TK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TV",0,0,0,0,0,0,40,4.444,1.058,0,0,0.995,85.16,146,105.043,57.814
"US",225.281,504.162,421.602,180.187,258.751,216.704,646.826,358.976,526.109,1213.513,675.107,1135.231,1635.441,1437.327,812.995,1543.379
"VU",58.623,259.156,155.045,226.354,30.384,3.978,21.766,32.648,4.027,2.985,0.995,0,0,163.196,204.742,124.332
"WF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
