CCM,Regnl,Hsall,EEZall,Biomass,EEZarea,Econom,Devlp,Adjc,Equal,LHsall,LBiomass,LEEZarea,LEconom,LDevlp,LAdjc,LEqual
AS,OTH,0,0,0.017504729,0.014648985,0.071428571,0.03030303,0,0.03125,0,0.003005302,0.008131011,0.071428571,0.03030303,0,0.03125
AU,FFA-OTH,0,0.028036268,0.03137069,0.035727884,0,0.015151515,0,0.03125,0,0.022191453,0.075182917,0,0.015151515,0.034161491,0.03125
CN,DWFN,0.003745858,0,0.005792928,0.01560139,0,0.03030303,0,0.03125,0.136260459,0.030241947,0.020371584,0,0.03030303,0,0.03125
CA,OTH,0,0,0,0,0,0.015151515,0,0.03125,0,0,0,0,0.015151515,0,0.03125
CK,FFA-OTH,0,0.024854848,0.067506044,0.05649302,0.071428571,0.03030303,0.016666667,0.03125,0,0.028229162,0.039461032,0.071428571,0.03030303,0.033126294,0.03125
EU,DWFN,0.058060798,0,0,0,0,0.015151515,0,0.03125,0,0,0,0,0.015151515,0,0.03125
FM,FFA-PNA,0,0.15314563,0.106362008,0.108673371,0.071428571,0.03030303,0.058333333,0.03125,0,0.105185593,0.060319836,0.071428571,0.03030303,0.013975155,0.03125
FJ,FFA-OTH,0,0.005965163,0.030856067,0.025822168,0.071428571,0.03030303,0,0.03125,0,0.008517238,0.025726976,0.071428571,0.03030303,0.003623188,0.03125
PF,OTH,0,0,0.118668805,0.100615653,0.071428571,0.03030303,0.091666667,0.03125,0,0.035299107,0.095503118,0.071428571,0.03030303,0.130434783,0.03125
GU,OTH,0,0,0.004007345,0.0075165,0,0.03030303,0.016666667,0.03125,0,0.005619077,0.004172081,0,0.03030303,0.000517598,0.03125
ID,IDPH,0,0,0.013051308,0.032117139,0,0.03030303,0,0.03125,0.097572695,0.034901196,0.06054206,0,0.03030303,0.002070393,0.03125
JP,DWFN,0.017432647,0,0.002317681,0.006713793,0,0.015151515,0.033333333,0.03125,0.302626129,0.118083232,0.085789294,0,0.015151515,0.156832298,0.03125
KI,FFA-PNA,0,0.207706991,0.146661031,0.123073821,0.071428571,0.060606061,0.133333333,0.03125,0,0.116296079,0.068926616,0.071428571,0.060606061,0.036231884,0.03125
KR,DWFN,0.029822792,0,0,0,0,0.03030303,0,0.03125,0.230999917,0.011610888,0.008620911,0,0.03030303,0,0.03125
MH,FFA-PNA,0,0.063330152,0.07308772,0.068330062,0.071428571,0.03030303,0.108333333,0.03125,0,0.061929551,0.040102433,0.071428571,0.03030303,0.030538302,0.03125
NR,FFA-PNA,0,0.068082399,0.012400511,0.011163197,0.071428571,0.03030303,0,0.03125,0,0.010977076,0.006196202,0.071428571,0.03030303,0.00310559,0.03125
NC,OTH,0,0.018690845,0.016886841,0.016200914,0,0.03030303,0,0.03125,0,0.009786347,0.027311531,0,0.03030303,0.002070393,0.03125
NZ,FFA-OTH,0.023051434,0,0,0,0,0.015151515,0,0.03125,0,0.011426816,0.069167013,0,0.015151515,0.142339545,0.03125
NU,FFA-OTH,0,0.003976776,0.008340873,0.006980132,0,0.03030303,0,0.03125,0,0.002355934,0.006374111,0,0.03030303,0.004658385,0.03125
MP,OTH,0,0,0.01499862,0.019294729,0,0.03030303,0.05,0.03125,0,0.020606012,0.015299657,0,0.03030303,0.00931677,0.03125
PW,FFA-PNA,0,0.015151515,0.008249713,0.022192327,0,0.03030303,0.008333333,0.03125,0,0.024985396,0.01231799,0,0.03030303,0.00310559,0.03125
PG,FFA-PNA,0,0.252087807,0.061684663,0.064608251,0,0.03030303,0.008333333,0.03125,0,0.029817628,0.047601443,0,0.03030303,0.005693582,0.03125
PH,IDPH,0.67122893,0,0.017337967,0.046309471,0,0.03030303,0.041666667,0.03125,0,0.054663011,0.039490682,0,0.03030303,0.007763975,0.03125
WS,FFA-OTH,0,0.002982582,0.005628029,0.004709865,0.071428571,0.03030303,0,0.03125,0,0.000966249,0.00261424,0.071428571,0.03030303,0,0.03125
SB,FFA-PNA,0,0.072556271,0.056925303,0.053286505,0.071428571,0.060606061,0.008333333,0.03125,0,0.025902373,0.032163525,0.071428571,0.060606061,0.005175983,0.03125
TW,DWFN,0.013686789,0,0.001088022,0.002906093,0,0.03030303,0,0.03125,0.173655869,0.008344969,0.007127163,0,0.03030303,0,0.03125
TK,FFA-OTH,0,0.019883878,0.013826261,0.011570627,0.071428571,0.03030303,0,0.03125,0,0.011050212,0.006422349,0.071428571,0.03030303,0,0.03125
TO,FFA-OTH,0,0.00497097,0.013435185,0.011243352,0.071428571,0.03030303,0,0.03125,0,0.004932333,0.013344703,0.071428571,0.03030303,0.00310559,0.03125
TV,FFA-PNA,0,0.043505925,0.032318637,0.027046133,0.071428571,0.060606061,0,0.03125,0,0.024390668,0.015089416,0.071428571,0.060606061,0.001552795,0.03125
US,DWFN,0.182970753,0.011095204,0.087533582,0.079368339,0,0.015151515,0.425,0.03125,0.058884931,0.17266997,0.088875134,0,0.015151515,0.370600414,0.03125
VU,FFA-OTH,0,0.003976776,0.020826193,0.018301955,0.071428571,0.060606061,0,0.03125,0,0.003997302,0.012490636,0.071428571,0.060606061,0,0.03125
WF,OTH,0,0,0.011333245,0.009484325,0,0.03030303,0,0.03125,0,0.00201788,0.005264334,0,0.03030303,0,0.03125
